"","Query.seq.ID","Subject.seq.ID","X.ID","Alignment.length","X..mismatches","X..gap.openings","start.in.query","end.in.query","start.in.subject","end.in.subject","evalue","bitscore","match.length.query","match.length.subject"
"2972","Nsylvestris_NODE_632_length_5617_cov_228","Ntome_NODE_569_length_5831_cov_290",96.078,5635,161,27,20,5612,169,5785,0,9127,5592,5616
"3049","Nsylvestris_NODE_648_length_5555_cov_57","Ntome_NODE_9821_length_2222_cov_188",85.631,515,68,4,876,1384,1627,2141,9.87e-151,536,508,514
"3169","Nsylvestris_NODE_678_length_5498_cov_103","Ntome_NODE_5868_length_2880_cov_74",92.584,418,19,5,49,466,456,51,7.39e-167,590,417,405
"3299","Nsylvestris_NODE_710_length_5408_cov_215","Ntome_NODE_796_length_5390_cov_268",96.411,5377,135,16,19,5375,43,5381,0,8807,5356,5338
"3335","Nsylvestris_NODE_718_length_5403_cov_61","Ntome_NODE_2641_length_3843_cov_37",79.781,821,160,6,4528,5344,2853,3671,2.02e-167,592,816,818
"3367","Nsylvestris_NODE_726_length_5395_cov_45","Ntome_NODE_37071_length_309_cov_4",90.566,318,20,6,3333,3649,309,1,1.69e-113,412,316,308
"3438","Nsylvestris_NODE_745_length_5355_cov_151","Ntome_NODE_15_length_12070_cov_222",81.765,170,23,5,2232,2397,7058,6893,4.05e-30,135,165,165
"3453","Nsylvestris_NODE_749_length_5353_cov_163","Ntome_NODE_875_length_5260_cov_302",80,105,16,5,2784,2886,3211,3312,3.22e-11,73.1,102,101
"3502","Nsylvestris_NODE_762_length_5315_cov_152","Ntome_NODE_56_length_9642_cov_224",97.356,5333,123,3,1,5315,1743,7075,0,9051,5314,5332
"3673","Nsylvestris_NODE_802_length_5245_cov_54","Ntome_NODE_7697_length_2541_cov_81",88.506,87,10,0,254,340,522,608,3.11e-21,106,86,86
"3674","Nsylvestris_NODE_803_length_5241_cov_24","Ntome_NODE_5351_length_2997_cov_15",100,45,0,0,1,45,1532,1576,1.46e-14,84.2,44,44
"3853","Nsylvestris_NODE_845_length_5164_cov_145","Ntome_NODE_2778_length_3777_cov_226",95.896,3338,135,1,106,3443,92,3427,0,5404,3337,3335
"3859","Nsylvestris_NODE_847_length_5160_cov_187","Ntome_NODE_849_length_5308_cov_224",96.309,5175,158,13,1,5160,30,5186,0,8468,5159,5156
"3966","Nsylvestris_NODE_872_length_5122_cov_205","Ntome_NODE_866_length_5276_cov_251",95.885,5128,155,27,4,5088,29,5143,0,8250,5084,5114
"3972","Nsylvestris_NODE_874_length_5121_cov_65","Ntome_NODE_1142_length_4905_cov_21",77.032,1206,229,29,375,1549,3368,4556,0,649,1174,1188
"4089","Nsylvestris_NODE_895_length_5095_cov_203","Ntome_NODE_1750_length_4343_cov_290",97.964,4175,75,4,306,4478,34,4200,0,7230,4172,4166
"4105","Nsylvestris_NODE_901_length_5088_cov_125","Ntome_NODE_943_length_5172_cov_240",95.638,5043,191,12,18,5048,5172,147,0,8067,5030,5025
"4199","Nsylvestris_NODE_912_length_5073_cov_236","Ntome_NODE_954_length_5159_cov_303",97.953,4983,91,4,52,5032,5012,39,0,8626,4980,4973
"4237","Nsylvestris_NODE_919_length_5061_cov_109","Ntome_NODE_1288_length_4745_cov_155",97.517,4470,102,5,39,4504,4601,137,0,7631,4465,4464
"4257","Nsylvestris_NODE_925_length_5053_cov_43","Ntome_NODE_1132_length_4916_cov_30",96.469,4899,158,7,1,4898,4885,1,0,8074,4897,4884
"4278","Nsylvestris_NODE_933_length_5044_cov_195","Ntome_NODE_1158_length_4886_cov_229",96.774,31,1,0,3786,3816,3004,2974,3.96e-05,52.8,30,30
"4429","Nsylvestris_NODE_975_length_4986_cov_44","Ntome_NODE_1222_length_4811_cov_114",94.961,3235,157,4,1624,4852,1,3235,0,5066,3228,3234
"4482","Nsylvestris_NODE_989_length_4970_cov_182","Ntome_NODE_1143_length_4904_cov_140",96.394,4908,121,27,109,4970,4902,5,0,8032,4861,4897
"4546","Nsylvestris_NODE_1003_length_4950_cov_183","Ntome_NODE_62_length_9425_cov_190",94.729,4420,167,13,246,4663,9083,4728,0,6811,4417,4355
"4569","Nsylvestris_NODE_1010_length_4933_cov_58","Ntome_NODE_13001_length_1842_cov_220",93.263,950,37,10,3993,4931,894,1827,0,1375,938,933
"4753","Nsylvestris_NODE_1054_length_4875_cov_139","Ntome_NODE_1183_length_4859_cov_78",94.595,37,2,0,2680,2716,3897,3861,8.21e-07,58.4,36,36
"4836","Nsylvestris_NODE_1077_length_4842_cov_82","Ntome_NODE_390_length_6347_cov_174",76.159,151,30,5,3410,3557,1684,1537,8.1e-12,75,147,147
"4878","Nsylvestris_NODE_1080_length_4839_cov_38","Ntome_NODE_1637_length_4430_cov_36",97.032,4380,123,5,459,4831,4380,1,0,7361,4372,4379
"5025","Nsylvestris_NODE_1115_length_4807_cov_235","Ntome_NODE_30796_length_596_cov_13",90.461,304,22,4,2973,3276,403,107,5.44e-108,394,303,296
"5100","Nsylvestris_NODE_1134_length_4772_cov_171","Ntome_NODE_2961_length_3715_cov_196",92.765,3193,162,20,110,3241,3665,481,0,4553,3131,3184
"5201","Nsylvestris_NODE_1158_length_4748_cov_123","Ntome_NODE_1099_length_4946_cov_245",96.375,4662,149,7,52,4698,81,4737,0,7655,4646,4656
"5234","Nsylvestris_NODE_1169_length_4730_cov_53","Ntome_NODE_374_length_6421_cov_111",96.553,4526,111,18,135,4649,55,4546,0,7452,4514,4491
"5340","Nsylvestris_NODE_1191_length_4709_cov_224","Ntome_NODE_1139_length_4908_cov_252",97.342,4627,92,13,2,4625,4599,1,0,7834,4623,4598
"5393","Nsylvestris_NODE_1205_length_4701_cov_118","Ntome_NODE_35011_length_374_cov_4",91.733,375,30,1,3926,4300,374,1,8.4e-146,520,374,373
"5472","Nsylvestris_NODE_1227_length_4677_cov_68","Ntome_NODE_38371_length_281_cov_2",88.06,134,11,2,3304,3432,267,134,9.77e-36,154,128,133
"5754","Nsylvestris_NODE_1292_length_4603_cov_182","Ntome_NODE_1650_length_4421_cov_190",96.349,4245,134,9,229,4462,46,4280,0,6961,4233,4234
"5857","Nsylvestris_NODE_1314_length_4584_cov_117","Ntome_NODE_1298_length_4731_cov_94",95.724,4537,143,23,74,4578,141,4658,0,7256,4504,4517
"6035","Nsylvestris_NODE_1348_length_4553_cov_158","Ntome_NODE_228_length_7228_cov_122",95.491,3903,175,1,373,4275,4568,667,0,6231,3902,3901
"6042","Nsylvestris_NODE_1351_length_4547_cov_227","Ntome_NODE_1541_length_4502_cov_287",95.308,4454,172,12,6,4440,4502,67,0,7033,4434,4435
"6099","Nsylvestris_NODE_1366_length_4530_cov_27","Ntome_NODE_16744_length_1472_cov_10",90.692,1214,107,5,5,1213,1213,1,0,1611,1208,1212
"6167","Nsylvestris_NODE_1385_length_4505_cov_56","Ntome_NODE_23376_length_961_cov_183",80.546,586,91,17,3908,4478,608,31,1.4e-118,429,570,577
"6245","Nsylvestris_NODE_1403_length_4492_cov_25","Ntome_NODE_4088_length_3323_cov_153",93.75,64,4,0,4429,4492,412,475,1.6e-18,97.1,63,63
"6254","Nsylvestris_NODE_1406_length_4487_cov_100","Ntome_NODE_2344_length_3987_cov_221",83.333,96,14,2,3694,3788,1447,1353,9.65e-16,87.9,94,94
"6447","Nsylvestris_NODE_1454_length_4445_cov_170","Ntome_NODE_1752_length_4341_cov_22",96.204,4347,140,13,73,4403,4,4341,0,7090,4330,4337
"6448","Nsylvestris_NODE_1455_length_4440_cov_22","Ntome_NODE_12046_length_1952_cov_142",98.077,52,1,0,4388,4439,697,646,7.38e-17,91.6,51,51
"6458","Nsylvestris_NODE_1458_length_4436_cov_125","Ntome_NODE_2041_length_4147_cov_275",96.59,3079,80,13,1320,4381,918,3988,0,5081,3061,3070
"6497","Nsylvestris_NODE_1468_length_4429_cov_69","Ntome_NODE_247_length_7111_cov_91",97.81,137,3,0,1,137,2661,2797,8.93e-61,237,136,136
"6527","Nsylvestris_NODE_1475_length_4421_cov_114","Ntome_NODE_2286_length_4014_cov_121",95.832,3959,122,12,447,4378,42,3984,0,6357,3931,3942
"6555","Nsylvestris_NODE_1483_length_4412_cov_12","Ntome_NODE_1417_length_4614_cov_68",93.462,4451,233,14,1,4412,4578,147,0,6554,4411,4431
"6578","Nsylvestris_NODE_1489_length_4405_cov_231","Ntome_NODE_405_length_6296_cov_301",97.995,4339,68,4,1,4339,1922,6241,0,7513,4338,4319
"6607","Nsylvestris_NODE_1496_length_4403_cov_97","Ntome_NODE_1676_length_4407_cov_65",95.602,4184,151,7,52,4216,238,4407,0,6676,4164,4169
"6630","Nsylvestris_NODE_1502_length_4395_cov_193","Ntome_NODE_2523_length_3897_cov_215",96.717,3868,91,14,371,4217,45,3897,0,6407,3846,3852
"6719","Nsylvestris_NODE_1520_length_4382_cov_224","Ntome_NODE_1365_length_4662_cov_273",96.856,4358,121,8,1,4345,133,4487,0,7275,4344,4354
"6738","Nsylvestris_NODE_1525_length_4376_cov_205","Ntome_NODE_1555_length_4491_cov_264",97.62,4328,89,10,61,4376,4462,137,0,7409,4315,4325
"6783","Nsylvestris_NODE_1536_length_4371_cov_182","Ntome_NODE_2791_length_3774_cov_273",94.692,3674,145,21,733,4367,3664,2,0,5659,3634,3662
"6936","Nsylvestris_NODE_1575_length_4347_cov_74","Ntome_NODE_2175_length_4074_cov_162",95.112,2046,91,8,2306,4347,3939,1899,0,3216,2041,2040
"6956","Nsylvestris_NODE_1581_length_4344_cov_140","Ntome_NODE_155_length_7801_cov_223",96.277,3922,118,6,307,4204,3832,7749,0,6408,3897,3917
"7030","Nsylvestris_NODE_1599_length_4330_cov_231","Ntome_NODE_114_length_8248_cov_183",96.613,4163,122,13,143,4293,4079,8234,0,6889,4150,4155
"7097","Nsylvestris_NODE_1617_length_4318_cov_34","Ntome_NODE_5020_length_3075_cov_95",83.75,80,12,1,101,180,3058,2980,7.23e-12,75,79,78
"7122","Nsylvestris_NODE_1624_length_4314_cov_47","Ntome_NODE_32858_length_488_cov_4",87.309,457,50,8,3819,4271,488,36,9.98e-145,516,452,452
"7132","Nsylvestris_NODE_1626_length_4313_cov_129","Ntome_NODE_1900_length_4235_cov_126",97.548,4241,83,7,58,4294,1,4224,0,7236,4236,4223
"7184","Nsylvestris_NODE_1642_length_4298_cov_28","Ntome_NODE_995_length_5098_cov_42",80.714,2857,514,26,1257,4099,2891,58,0,2189,2842,2833
"7343","Nsylvestris_NODE_1680_length_4269_cov_80","Ntome_NODE_948_length_5168_cov_80",96.804,4099,125,4,94,4190,4108,14,0,6839,4096,4094
"7365","Nsylvestris_NODE_1687_length_4265_cov_167","Ntome_NODE_1428_length_4602_cov_80",94.729,3567,153,13,291,3839,907,4456,0,5513,3548,3549
"7533","Nsylvestris_NODE_1728_length_4229_cov_226","Ntome_NODE_1020_length_5064_cov_272",95.155,4169,190,6,68,4229,5017,854,0,6569,4161,4163
"7661","Nsylvestris_NODE_1755_length_4212_cov_222","Ntome_NODE_897_length_5233_cov_251",97.186,4193,113,4,1,4189,999,5190,0,7084,4188,4191
"7687","Nsylvestris_NODE_1761_length_4207_cov_231","Ntome_NODE_1685_length_4397_cov_288",96.799,4218,110,12,1,4206,59,4263,0,7018,4205,4204
"7743","Nsylvestris_NODE_1774_length_4193_cov_175","Ntome_NODE_2615_length_3852_cov_263",96.987,3585,94,3,3,3573,94,3678,0,6010,3570,3584
"7788","Nsylvestris_NODE_1784_length_4187_cov_161","Ntome_NODE_5398_length_2985_cov_273",96.873,2686,62,8,1403,4068,2778,95,0,4475,2665,2683
"7833","Nsylvestris_NODE_1795_length_4182_cov_77","Ntome_NODE_13580_length_1778_cov_214",88.811,143,14,2,2840,2980,247,105,6.71e-42,174,140,142
"7842","Nsylvestris_NODE_1798_length_4179_cov_146","Ntome_NODE_2072_length_4128_cov_235",95.311,4073,131,28,58,4107,42,4077,0,6408,4049,4035
"7874","Nsylvestris_NODE_1806_length_4170_cov_141","Ntome_NODE_2016_length_4161_cov_219",95.711,4057,117,23,37,4043,112,4161,0,6475,4006,4049
"7883","Nsylvestris_NODE_1809_length_4167_cov_113","Ntome_NODE_2559_length_3879_cov_300",97.95,3658,72,3,239,3894,183,3839,0,6336,3655,3656
"8081","Nsylvestris_NODE_1853_length_4147_cov_145","Ntome_NODE_1653_length_4420_cov_228",97.283,4086,102,7,69,4147,4294,211,0,6922,4078,4083
"8102","Nsylvestris_NODE_1858_length_4145_cov_59","Ntome_NODE_458_length_6137_cov_152",95.496,4152,154,19,1,4130,1962,6102,0,6601,4129,4140
"8271","Nsylvestris_NODE_1896_length_4120_cov_101","Ntome_NODE_2060_length_4135_cov_74",94.483,4133,149,46,32,4120,4135,38,0,6296,4088,4097
"8317","Nsylvestris_NODE_1907_length_4109_cov_237","Ntome_NODE_22_length_11398_cov_308",98.145,3990,73,1,121,4109,1,3990,0,6957,3988,3989
"8335","Nsylvestris_NODE_1913_length_4104_cov_108","Ntome_NODE_2121_length_4098_cov_51",96.76,3920,120,4,95,4013,4047,134,0,6529,3918,3913
"8381","Nsylvestris_NODE_1927_length_4097_cov_54","Ntome_NODE_19451_length_1236_cov_13",98.182,55,1,0,1,55,1015,961,1.46e-18,97.1,54,54
"8409","Nsylvestris_NODE_1938_length_4092_cov_229","Ntome_NODE_2216_length_4051_cov_265",97.194,3599,72,9,264,3861,3842,272,0,6059,3597,3570
"8508","Nsylvestris_NODE_1959_length_4078_cov_136","Ntome_NODE_1374_length_4655_cov_176",95.699,3511,120,19,580,4078,3597,106,0,5618,3498,3491
"8570","Nsylvestris_NODE_1975_length_4069_cov_213","Ntome_NODE_328_length_6607_cov_250",96.877,3907,96,9,99,3993,2645,6537,0,6516,3894,3892
"8632","Nsylvestris_NODE_1988_length_4063_cov_181","Ntome_NODE_1913_length_4227_cov_203",95.864,4038,127,18,1,4017,166,4184,0,6495,4016,4018
"8694","Nsylvestris_NODE_2005_length_4049_cov_223","Ntome_NODE_222_length_7262_cov_259",96.706,4068,114,5,2,4049,1,4068,0,6752,4047,4067
"8743","Nsylvestris_NODE_2019_length_4042_cov_69","Ntome_NODE_1005_length_5084_cov_186",92.933,566,29,8,2620,3183,4354,4910,0,813,563,556
"8771","Nsylvestris_NODE_2026_length_4037_cov_106","Ntome_NODE_18128_length_1348_cov_210",97.059,34,0,1,9,41,34,1,2.45e-06,56.5,32,33
"8807","Nsylvestris_NODE_2035_length_4032_cov_82","Ntome_NODE_1819_length_4295_cov_49",95.907,3982,118,7,3,3982,18,3956,0,6408,3979,3938
"8825","Nsylvestris_NODE_2041_length_4029_cov_71","Ntome_NODE_16176_length_1524_cov_85",95.802,810,33,1,2495,3304,842,34,0,1306,809,808
"8942","Nsylvestris_NODE_2070_length_4011_cov_26","Ntome_NODE_38927_length_269_cov_3",97.77,269,6,0,2606,2874,269,1,3.41e-129,464,268,268
"8959","Nsylvestris_NODE_2075_length_4009_cov_91","Ntome_NODE_3014_length_3694_cov_119",97.626,3581,77,3,436,4009,96,3675,0,6135,3573,3579
"8978","Nsylvestris_NODE_2082_length_4005_cov_28","Ntome_NODE_3512_length_3513_cov_193",83.333,234,35,4,2583,2814,546,777,1.36e-53,213,231,231
"9012","Nsylvestris_NODE_2092_length_4000_cov_35","Ntome_NODE_2786_length_3775_cov_278",96.364,55,2,0,3946,4000,808,754,6.64e-17,91.6,54,54
"9013","Nsylvestris_NODE_2093_length_3999_cov_136","Ntome_NODE_2457_length_3927_cov_57",95.732,3889,122,19,1,3869,3923,59,0,6222,3868,3864
"9031","Nsylvestris_NODE_2097_length_3995_cov_89","Ntome_NODE_31960_length_553_cov_6",94.595,37,1,1,713,749,174,139,2.42e-06,56.5,36,35
"9032","Nsylvestris_NODE_2098_length_3995_cov_15","Ntome_NODE_25451_length_836_cov_4",89.58,691,71,1,1,691,146,835,0,876,690,689
"9161","Nsylvestris_NODE_2123_length_3979_cov_62","Ntome_NODE_23395_length_960_cov_264",96.117,103,4,0,2,104,313,211,2.97e-40,169,102,102
"9196","Nsylvestris_NODE_2130_length_3974_cov_62","Ntome_NODE_18259_length_1337_cov_108",78.761,791,144,12,2908,3678,81,867,1.54e-142,508,770,786
"9259","Nsylvestris_NODE_2148_length_3965_cov_56","Ntome_NODE_2253_length_4032_cov_53",94.908,3947,191,5,1,3946,95,4032,0,6167,3945,3937
"9281","Nsylvestris_NODE_2153_length_3963_cov_11","Ntome_NODE_7270_length_2610_cov_164",90.873,252,20,2,3713,3963,15,264,2.75e-90,335,250,249
"9442","Nsylvestris_NODE_2190_length_3940_cov_200","Ntome_NODE_3875_length_3395_cov_278",96.163,3362,94,7,71,3408,1,3351,0,5461,3337,3350
"9518","Nsylvestris_NODE_2209_length_3933_cov_132","Ntome_NODE_377_length_6408_cov_117",97.954,3275,55,10,1,3270,3054,6321,0,5666,3269,3267
"9600","Nsylvestris_NODE_2228_length_3923_cov_144","Ntome_NODE_2329_length_3994_cov_164",95.841,3823,127,14,75,3872,89,3904,0,6150,3797,3815
"9686","Nsylvestris_NODE_2253_length_3913_cov_88","Ntome_NODE_1332_length_4699_cov_92",98.827,3581,42,0,273,3853,3583,3,0,6381,3580,3580
"9712","Nsylvestris_NODE_2260_length_3910_cov_75","Ntome_NODE_10517_length_2130_cov_196",96.979,1920,56,2,1908,3826,1,1919,0,3223,1918,1918
"9795","Nsylvestris_NODE_2280_length_3902_cov_113","Ntome_NODE_2688_length_3820_cov_60",95.492,3394,111,23,288,3644,58,3446,0,5382,3356,3388
"9800","Nsylvestris_NODE_2282_length_3900_cov_224","Ntome_NODE_2243_length_4038_cov_279",96.577,3856,79,13,46,3897,175,3981,0,6340,3851,3806
"9812","Nsylvestris_NODE_2286_length_3899_cov_160","Ntome_NODE_988_length_5108_cov_217",94.582,2916,120,14,185,3089,5049,2161,0,4475,2904,2888
"9831","Nsylvestris_NODE_2290_length_3898_cov_70","Ntome_NODE_2425_length_3946_cov_63",95.56,3671,136,6,251,3898,3671,5,0,5851,3647,3666
"9855","Nsylvestris_NODE_2296_length_3895_cov_161","Ntome_NODE_2503_length_3905_cov_212",97.743,3899,53,8,1,3881,3882,1,0,6680,3880,3881
"9869","Nsylvestris_NODE_2299_length_3893_cov_228","Ntome_NODE_2884_length_3745_cov_160",96.839,3543,108,3,273,3811,3665,123,0,5919,3538,3542
"9937","Nsylvestris_NODE_2321_length_3884_cov_213","Ntome_NODE_1739_length_4353_cov_236",96.164,3858,112,14,1,3834,4187,342,0,6272,3833,3845
"9968","Nsylvestris_NODE_2329_length_3881_cov_160","Ntome_NODE_3138_length_3643_cov_49",95.339,3669,119,20,41,3683,3643,1,0,5781,3642,3642
"9980","Nsylvestris_NODE_2333_length_3881_cov_52","Ntome_NODE_2102_length_4109_cov_77",94.986,3829,187,3,53,3881,4060,237,0,6002,3828,3823
"10018","Nsylvestris_NODE_2343_length_3874_cov_88","Ntome_NODE_371_length_6431_cov_247",98.214,56,0,1,3820,3874,5708,5763,1.38e-18,97.1,54,55
"10048","Nsylvestris_NODE_2351_length_3869_cov_169","Ntome_NODE_211_length_7361_cov_225",98.182,55,1,0,3815,3869,862,808,1.38e-18,97.1,54,54
"10076","Nsylvestris_NODE_2360_length_3867_cov_34","Ntome_NODE_13165_length_1824_cov_17",94.577,1807,86,4,2023,3826,1,1798,0,2784,1803,1797
"10084","Nsylvestris_NODE_2363_length_3861_cov_220","Ntome_NODE_255_length_7035_cov_303",99.013,3445,34,0,417,3861,6688,3244,0,6174,3444,3444
"10148","Nsylvestris_NODE_2376_length_3855_cov_23","Ntome_NODE_6779_length_2698_cov_48",83.404,2350,365,19,214,2555,227,2559,0,2156,2341,2332
"10154","Nsylvestris_NODE_2379_length_3854_cov_25","Ntome_NODE_3174_length_3629_cov_221",94.688,753,26,4,2997,3748,1165,1904,0,1157,751,739
"10209","Nsylvestris_NODE_2394_length_3844_cov_20","Ntome_NODE_14087_length_1729_cov_7",82.836,134,19,3,128,258,1728,1596,1.05e-24,117,130,132
"10210","Nsylvestris_NODE_2395_length_3842_cov_210","Ntome_NODE_2550_length_3884_cov_245",97.416,3792,82,7,1,3780,56,3843,0,6445,3779,3787
"10240","Nsylvestris_NODE_2403_length_3839_cov_75","Ntome_NODE_309_length_6664_cov_209",96.747,3658,116,2,182,3839,6487,2833,0,6093,3657,3654
"10260","Nsylvestris_NODE_2408_length_3837_cov_140","Ntome_NODE_6684_length_2715_cov_285",84.844,1887,272,8,1454,3339,433,2306,0,1888,1885,1873
"10331","Nsylvestris_NODE_2424_length_3829_cov_166","Ntome_NODE_2921_length_3728_cov_42",95.975,3627,86,18,49,3620,107,3728,0,5834,3571,3621
"10355","Nsylvestris_NODE_2431_length_3825_cov_140","Ntome_NODE_2085_length_4115_cov_260",94.453,3714,119,31,4,3680,128,3791,0,5637,3676,3663
"10480","Nsylvestris_NODE_2460_length_3809_cov_226","Ntome_NODE_3025_length_3689_cov_260",96.499,3656,88,12,159,3788,46,3687,0,6006,3629,3641
"10607","Nsylvestris_NODE_2492_length_3798_cov_189","Ntome_NODE_998_length_5095_cov_262",95.549,3640,109,22,142,3750,1347,4964,0,5775,3608,3617
"10619","Nsylvestris_NODE_2495_length_3797_cov_205","Ntome_NODE_1276_length_4754_cov_105",95.909,3691,124,13,6,3695,4754,1090,0,5954,3689,3664
"10649","Nsylvestris_NODE_2500_length_3794_cov_97","Ntome_NODE_5630_length_2932_cov_38",95.595,2656,111,2,161,2810,54,2709,0,4252,2649,2655
"10760","Nsylvestris_NODE_2526_length_3780_cov_208","Ntome_NODE_2870_length_3749_cov_250",95.389,3687,109,21,109,3770,50,3700,0,5810,3661,3650
"10825","Nsylvestris_NODE_2544_length_3771_cov_82","Ntome_NODE_2653_length_3836_cov_138",95.084,3702,171,4,18,3710,3788,89,0,5818,3692,3699
"10826","Nsylvestris_NODE_2545_length_3771_cov_51","Ntome_NODE_2485_length_3915_cov_93",94.118,51,3,0,3640,3690,1027,977,4.87e-13,78.7,50,50
"10945","Nsylvestris_NODE_2572_length_3759_cov_230","Ntome_NODE_2623_length_3849_cov_293",96.704,3732,101,9,13,3729,3794,70,0,6191,3716,3724
"10946","Nsylvestris_NODE_2573_length_3759_cov_153","Ntome_NODE_4832_length_3126_cov_18",97.618,3148,51,4,212,3357,1,3126,0,5376,3145,3125
"11031","Nsylvestris_NODE_2594_length_3748_cov_74","Ntome_NODE_4604_length_3179_cov_19",88.201,3119,338,16,151,3260,82,3179,0,3694,3109,3097
"11036","Nsylvestris_NODE_2596_length_3746_cov_219","Ntome_NODE_3597_length_3485_cov_223",94.342,3429,127,26,40,3424,26,3431,0,5195,3384,3405
"11073","Nsylvestris_NODE_2604_length_3744_cov_34","Ntome_NODE_2543_length_3888_cov_80",95.828,3691,136,5,61,3744,77,3756,0,5947,3683,3679
"11161","Nsylvestris_NODE_2625_length_3730_cov_103","Ntome_NODE_33358_length_454_cov_4",96.744,430,14,0,813,1242,1,430,0,717,429,429
"11214","Nsylvestris_NODE_2640_length_3725_cov_144","Ntome_NODE_944_length_5170_cov_235",97.258,3720,93,4,1,3717,3762,49,0,6296,3716,3713
"11274","Nsylvestris_NODE_2651_length_3722_cov_83","Ntome_NODE_3716_length_3445_cov_78",97.667,3300,72,3,236,3533,50,3346,0,5662,3297,3296
