,A,B,overlap
124,Ntome_NODE_3030_length_3687_cov_290,Ntome_NODE_4114_length_3316_cov_231,Ntome_NODE_4796_length_3134_cov_87
125,Ntome_NODE_3046_length_3679_cov_162,Ntome_NODE_2686_length_3820_cov_178,Ntome_NODE_4799_length_3133_cov_210
126,Ntome_NODE_3068_length_3670_cov_238,Ntome_NODE_3075_length_3667_cov_264,Ntome_NODE_4832_length_3126_cov_18
127,Ntome_NODE_3081_length_3664_cov_123,Ntome_NODE_426_length_6232_cov_192,Ntome_NODE_4840_length_3123_cov_285
128,Ntome_NODE_3175_length_3629_cov_205,Ntome_NODE_2925_length_3726_cov_166,Ntome_NODE_4864_length_3120_cov_35
129,Ntome_NODE_3185_length_3626_cov_33,Ntome_NODE_1687_length_4391_cov_260,Ntome_NODE_4947_length_3098_cov_246
130,Ntome_NODE_3202_length_3621_cov_277,Ntome_NODE_992_length_5103_cov_41,Ntome_NODE_4984_length_3087_cov_42
131,Ntome_NODE_3207_length_3621_cov_135,Ntome_NODE_1084_length_4975_cov_213,Ntome_NODE_4990_length_3085_cov_33
132,Ntome_NODE_3222_length_3613_cov_39,Ntome_NODE_3715_length_3445_cov_105,Ntome_NODE_5033_length_3068_cov_299
133,Ntome_NODE_3239_length_3608_cov_20,Ntome_NODE_10160_length_2176_cov_74,Ntome_NODE_5041_length_3067_cov_178
134,Ntome_NODE_3344_length_3570_cov_292,Ntome_NODE_2769_length_3782_cov_178,Ntome_NODE_5070_length_3061_cov_113
135,Ntome_NODE_3345_length_3570_cov_243,Ntome_NODE_3814_length_3415_cov_206,Ntome_NODE_5107_length_3053_cov_49
136,Ntome_NODE_3386_length_3555_cov_242,Ntome_NODE_738_length_5482_cov_20,Ntome_NODE_5153_length_3043_cov_258
137,Ntome_NODE_3398_length_3540_cov_213,Ntome_NODE_2865_length_3751_cov_73,Ntome_NODE_5282_length_3011_cov_289
138,Ntome_NODE_3410_length_3544_cov_232,Ntome_NODE_22982_length_984_cov_258,Ntome_NODE_5331_length_3000_cov_225
139,Ntome_NODE_3421_length_3541_cov_266,Ntome_NODE_15240_length_1610_cov_164,Ntome_NODE_5370_length_2993_cov_168
140,Ntome_NODE_3454_length_3529_cov_223,Ntome_NODE_10911_length_2083_cov_261,Ntome_NODE_5371_length_2993_cov_59
141,Ntome_NODE_3473_length_3524_cov_285,Ntome_NODE_11595_length_2003_cov_261,Ntome_NODE_5398_length_2985_cov_273
142,Ntome_NODE_3546_length_3502_cov_83,Ntome_NODE_2823_length_3765_cov_67,Ntome_NODE_5432_length_2978_cov_35
143,Ntome_NODE_3566_length_3495_cov_96,Ntome_NODE_3647_length_3471_cov_279,Ntome_NODE_5456_length_2972_cov_214
144,Ntome_NODE_3598_length_3485_cov_206,Ntome_NODE_3107_length_3655_cov_275,Ntome_NODE_5458_length_2972_cov_207
145,Ntome_NODE_3652_length_3469_cov_192,Ntome_NODE_2182_length_4069_cov_219,Ntome_NODE_5471_length_2970_cov_38
146,Ntome_NODE_3669_length_3459_cov_75,Ntome_NODE_1253_length_4780_cov_210,Ntome_NODE_5557_length_2948_cov_290
147,Ntome_NODE_3677_length_3459_cov_45,Ntome_NODE_4449_length_3222_cov_105,Ntome_NODE_5634_length_2931_cov_260
148,Ntome_NODE_3680_length_3457_cov_241,Ntome_NODE_734_length_5490_cov_289,Ntome_NODE_5642_length_2929_cov_288
149,Ntome_NODE_3734_length_3439_cov_91,Ntome_NODE_1125_length_4925_cov_301,Ntome_NODE_5658_length_2925_cov_283
150,Ntome_NODE_3735_length_3439_cov_50,Ntome_NODE_3730_length_3440_cov_260,Ntome_NODE_5670_length_2923_cov_171
151,Ntome_NODE_3742_length_3437_cov_101,Ntome_NODE_2674_length_3825_cov_305,Ntome_NODE_5700_length_2918_cov_74
152,Ntome_NODE_3768_length_3430_cov_269,Ntome_NODE_2492_length_3913_cov_75,Ntome_NODE_5725_length_2912_cov_227
153,Ntome_NODE_3770_length_3430_cov_60,Ntome_NODE_1361_length_4667_cov_150,Ntome_NODE_5736_length_2909_cov_151
154,Ntome_NODE_3787_length_3424_cov_291,Ntome_NODE_6746_length_2704_cov_244,Ntome_NODE_5767_length_2904_cov_226
155,Ntome_NODE_3794_length_3421_cov_285,Ntome_NODE_4811_length_3131_cov_82,Ntome_NODE_5801_length_2894_cov_95
156,Ntome_NODE_3802_length_3420_cov_259,Ntome_NODE_136_length_7983_cov_105,Ntome_NODE_5916_length_2868_cov_112
157,Ntome_NODE_3808_length_3418_cov_198,Ntome_NODE_2817_length_3766_cov_251,Ntome_NODE_5934_length_2865_cov_140
158,Ntome_NODE_3832_length_3414_cov_81,Ntome_NODE_5099_length_3054_cov_219,Ntome_NODE_5948_length_2861_cov_275
159,Ntome_NODE_3847_length_3405_cov_253,Ntome_NODE_1028_length_5054_cov_302,Ntome_NODE_5957_length_2859_cov_229
160,Ntome_NODE_3921_length_3380_cov_282,Ntome_NODE_5217_length_3025_cov_45,Ntome_NODE_5962_length_2857_cov_24
161,Ntome_NODE_3925_length_3379_cov_294,Ntome_NODE_1051_length_5019_cov_231,Ntome_NODE_6004_length_2846_cov_261
162,Ntome_NODE_3948_length_3374_cov_38,Ntome_NODE_20040_length_1188_cov_283,Ntome_NODE_6021_length_2843_cov_285
163,Ntome_NODE_3991_length_3355_cov_14,Ntome_NODE_5535_length_2954_cov_110,Ntome_NODE_6062_length_2837_cov_50
164,Ntome_NODE_3993_length_3353_cov_269,Ntome_NODE_4221_length_3286_cov_235,Ntome_NODE_6065_length_2836_cov_222
165,Ntome_NODE_3999_length_3352_cov_212,Ntome_NODE_599_length_5773_cov_100,Ntome_NODE_6104_length_2830_cov_50
166,Ntome_NODE_4002_length_3351_cov_258,Ntome_NODE_1066_length_5003_cov_68,Ntome_NODE_6173_length_2817_cov_242
167,Ntome_NODE_4028_length_3341_cov_287,Ntome_NODE_723_length_5522_cov_61,Ntome_NODE_6295_length_2789_cov_59
168,Ntome_NODE_4039_length_3337_cov_292,Ntome_NODE_4345_length_3251_cov_20,Ntome_NODE_6356_length_2777_cov_19
169,Ntome_NODE_4087_length_3324_cov_35,Ntome_NODE_248_length_7107_cov_98,Ntome_NODE_6363_length_2775_cov_39
170,Ntome_NODE_4094_length_3322_cov_203,Ntome_NODE_4009_length_3349_cov_48,Ntome_NODE_6383_length_2770_cov_221
171,Ntome_NODE_4101_length_3321_cov_76,Ntome_NODE_35086_length_371_cov_3,Ntome_NODE_6392_length_2769_cov_86
172,Ntome_NODE_4135_length_3311_cov_231,Ntome_NODE_4167_length_3304_cov_288,Ntome_NODE_6411_length_2765_cov_113
173,Ntome_NODE_4154_length_3306_cov_274,Ntome_NODE_3249_length_3605_cov_269,Ntome_NODE_6424_length_2762_cov_236
174,Ntome_NODE_4176_length_3302_cov_153,Ntome_NODE_2195_length_4064_cov_31,Ntome_NODE_6426_length_2762_cov_71
175,Ntome_NODE_4200_length_3295_cov_70,Ntome_NODE_3748_length_3436_cov_92,Ntome_NODE_6481_length_2751_cov_246
176,Ntome_NODE_4259_length_3275_cov_37,Ntome_NODE_3311_length_3582_cov_69,Ntome_NODE_6543_length_2739_cov_285
177,Ntome_NODE_4261_length_3274_cov_92,Ntome_NODE_7435_length_2580_cov_55,Ntome_NODE_6553_length_2738_cov_13
178,Ntome_NODE_4293_length_3263_cov_89,Ntome_NODE_1628_length_4435_cov_264,Ntome_NODE_6605_length_2729_cov_185
179,Ntome_NODE_4296_length_3262_cov_288,Ntome_NODE_4265_length_3272_cov_151,Ntome_NODE_6611_length_2728_cov_200
180,Ntome_NODE_4360_length_3248_cov_90,Ntome_NODE_7410_length_2584_cov_141,Ntome_NODE_6619_length_2726_cov_40
181,Ntome_NODE_4380_length_3243_cov_274,Ntome_NODE_543_length_5905_cov_125,Ntome_NODE_6627_length_2724_cov_267
182,Ntome_NODE_4391_length_3240_cov_138,Ntome_NODE_660_length_5637_cov_213,Ntome_NODE_6628_length_2724_cov_251
183,Ntome_NODE_4419_length_3232_cov_32,Ntome_NODE_4179_length_3301_cov_244,Ntome_NODE_6642_length_2722_cov_36
184,Ntome_NODE_4420_length_3231_cov_225,Ntome_NODE_11146_length_2055_cov_260,Ntome_NODE_6680_length_2716_cov_133
185,Ntome_NODE_4424_length_3229_cov_271,Ntome_NODE_3131_length_3646_cov_181,Ntome_NODE_6705_length_2713_cov_131
186,Ntome_NODE_4506_length_3208_cov_19,Ntome_NODE_4202_length_3294_cov_237,Ntome_NODE_6711_length_2712_cov_143
187,Ntome_NODE_4510_length_3207_cov_134,Ntome_NODE_3765_length_3431_cov_153,Ntome_NODE_6732_length_2706_cov_250
188,Ntome_NODE_4546_length_3198_cov_69,Ntome_NODE_1793_length_4317_cov_274,Ntome_NODE_6734_length_2706_cov_86
189,Ntome_NODE_4550_length_3197_cov_179,Ntome_NODE_2407_length_3957_cov_96,Ntome_NODE_6755_length_2703_cov_38
190,Ntome_NODE_4560_length_3194_cov_132,Ntome_NODE_13220_length_1817_cov_188,Ntome_NODE_6768_length_2700_cov_53
191,Ntome_NODE_4575_length_3187_cov_78,Ntome_NODE_10862_length_2089_cov_186,Ntome_NODE_6778_length_2698_cov_63
192,Ntome_NODE_4577_length_3187_cov_17,Ntome_NODE_2486_length_3915_cov_46,Ntome_NODE_6821_length_2690_cov_145
193,Ntome_NODE_4625_length_3178_cov_303,Ntome_NODE_2271_length_4020_cov_73,Ntome_NODE_6836_length_2687_cov_206
194,Ntome_NODE_4630_length_3176_cov_295,Ntome_NODE_21047_length_1109_cov_30,Ntome_NODE_6844_length_2686_cov_194
195,Ntome_NODE_4668_length_3166_cov_187,Ntome_NODE_10564_length_2124_cov_237,Ntome_NODE_6849_length_2685_cov_119
196,Ntome_NODE_4672_length_3165_cov_76,Ntome_NODE_5614_length_2936_cov_69,Ntome_NODE_6868_length_2682_cov_13
197,Ntome_NODE_4680_length_3163_cov_184,Ntome_NODE_3519_length_3509_cov_302,Ntome_NODE_6879_length_2678_cov_254
198,Ntome_NODE_4687_length_3162_cov_88,Ntome_NODE_4744_length_3148_cov_183,Ntome_NODE_6895_length_2675_cov_282
199,Ntome_NODE_4692_length_3161_cov_200,Ntome_NODE_5535_length_2954_cov_110,Ntome_NODE_6956_length_2657_cov_203
200,Ntome_NODE_4698_length_3160_cov_216,Ntome_NODE_4348_length_3250_cov_188,Ntome_NODE_6957_length_2662_cov_108
201,Ntome_NODE_4708_length_3158_cov_176,Ntome_NODE_2166_length_4078_cov_219,Ntome_NODE_6989_length_2657_cov_91
202,Ntome_NODE_4739_length_3149_cov_287,Ntome_NODE_23198_length_977_cov_28,Ntome_NODE_6991_length_2656_cov_173
203,Ntome_NODE_4759_length_3144_cov_205,Ntome_NODE_9647_length_2246_cov_70,Ntome_NODE_7022_length_2652_cov_36
204,Ntome_NODE_4805_length_3132_cov_55,Ntome_NODE_5663_length_2924_cov_134,Ntome_NODE_7031_length_2650_cov_79
205,Ntome_NODE_4851_length_3122_cov_30,Ntome_NODE_938_length_5179_cov_200,Ntome_NODE_7062_length_2645_cov_35
206,Ntome_NODE_4870_length_3117_cov_297,Ntome_NODE_4136_length_3311_cov_161,Ntome_NODE_7064_length_2644_cov_287
207,Ntome_NODE_4871_length_3117_cov_296,Ntome_NODE_7667_length_2545_cov_304,Ntome_NODE_7076_length_2642_cov_288
