"","Query.seq.ID","n"
"103","Ntome_NODE_485_length_6067_cov_75",10
"104","Ntome_NODE_502_length_6006_cov_236",10
"105","Ntome_NODE_5112_length_3051_cov_299",10
"106","Ntome_NODE_5145_length_3045_cov_226",10
"107","Ntome_NODE_5522_length_2956_cov_209",10
"108","Ntome_NODE_590_length_5796_cov_233",10
"109","Ntome_NODE_6182_length_2815_cov_197",10
"110","Ntome_NODE_6718_length_2710_cov_127",10
"111","Ntome_NODE_719_length_5526_cov_80",10
"112","Ntome_NODE_7350_length_2595_cov_16",10
"113","Ntome_NODE_7888_length_2510_cov_102",10
"114","Ntome_NODE_850_length_5298_cov_266",10
"115","Ntome_NODE_869_length_5267_cov_25",10
"116","Ntome_NODE_9772_length_2229_cov_118",10
"117","Ntome_NODE_10065_length_2191_cov_113",9
"118","Ntome_NODE_1054_length_5015_cov_154",9
"119","Ntome_NODE_10975_length_2076_cov_261",9
"120","Ntome_NODE_110_length_8318_cov_170",9
"121","Ntome_NODE_1102_length_4944_cov_141",9
"122","Ntome_NODE_11070_length_2065_cov_46",9
"123","Ntome_NODE_1115_length_4934_cov_40",9
"124","Ntome_NODE_1165_length_4881_cov_223",9
"125","Ntome_NODE_11912_length_1968_cov_294",9
"126","Ntome_NODE_12829_length_1858_cov_299",9
"127","Ntome_NODE_13394_length_1798_cov_96",9
"128","Ntome_NODE_1343_length_4687_cov_192",9
"129","Ntome_NODE_1369_length_4659_cov_129",9
"130","Ntome_NODE_150_length_7845_cov_149",9
"131","Ntome_NODE_1503_length_4534_cov_163",9
"132","Ntome_NODE_1534_length_4510_cov_296",9
"133","Ntome_NODE_15342_length_1600_cov_107",9
"134","Ntome_NODE_15653_length_1572_cov_25",9
"135","Ntome_NODE_160_length_7725_cov_198",9
"136","Ntome_NODE_1613_length_4446_cov_160",9
"137","Ntome_NODE_16536_length_1493_cov_218",9
"138","Ntome_NODE_17661_length_1387_cov_149",9
"139","Ntome_NODE_1768_length_4333_cov_28",9
"140","Ntome_NODE_17747_length_1380_cov_16",9
"141","Ntome_NODE_1797_length_4311_cov_187",9
"142","Ntome_NODE_1824_length_4292_cov_294",9
"143","Ntome_NODE_2026_length_4155_cov_200",9
"144","Ntome_NODE_2035_length_4150_cov_197",9
"145","Ntome_NODE_20562_length_1147_cov_262",9
"146","Ntome_NODE_20932_length_1121_cov_101",9
"147","Ntome_NODE_2127_length_4094_cov_113",9
"148","Ntome_NODE_2138_length_4087_cov_228",9
"149","Ntome_NODE_22557_length_1012_cov_245",9
"150","Ntome_NODE_2297_length_4009_cov_230",9
"151","Ntome_NODE_2310_length_4001_cov_73",9
"152","Ntome_NODE_2400_length_3959_cov_163",9
"153","Ntome_NODE_2422_length_3947_cov_215",9
"154","Ntome_NODE_2446_length_3935_cov_93",9
"155","Ntome_NODE_2709_length_3810_cov_152",9
"156","Ntome_NODE_289_length_6784_cov_168",9
"157","Ntome_NODE_3029_length_3688_cov_19",9
"158","Ntome_NODE_305_length_6679_cov_112",9
"159","Ntome_NODE_3101_length_3657_cov_270",9
"160","Ntome_NODE_314_length_6644_cov_63",9
"161","Ntome_NODE_32_length_10554_cov_279",9
"162","Ntome_NODE_32709_length_497_cov_268",9
"163","Ntome_NODE_3319_length_3578_cov_163",9
"164","Ntome_NODE_3475_length_3524_cov_174",9
"165","Ntome_NODE_3500_length_3517_cov_183",9
"166","Ntome_NODE_361_length_6465_cov_177",9
"167","Ntome_NODE_362_length_6463_cov_40",9
"168","Ntome_NODE_3774_length_3428_cov_109",9
"169","Ntome_NODE_3976_length_3362_cov_268",9
"170","Ntome_NODE_4178_length_3301_cov_256",9
"171","Ntome_NODE_420_length_6242_cov_30",9
"172","Ntome_NODE_4421_length_3231_cov_193",9
"173","Ntome_NODE_4445_length_3222_cov_249",9
"174","Ntome_NODE_446_length_6167_cov_108",9
"175","Ntome_NODE_4483_length_3214_cov_146",9
"176","Ntome_NODE_504_length_5998_cov_175",9
"177","Ntome_NODE_5256_length_3016_cov_254",9
"178","Ntome_NODE_5507_length_2960_cov_276",9
"179","Ntome_NODE_5886_length_2874_cov_116",9
"180","Ntome_NODE_5907_length_2867_cov_282",9
"181","Ntome_NODE_5920_length_2867_cov_176",9
"182","Ntome_NODE_5971_length_2855_cov_26",9
"183","Ntome_NODE_627_length_5706_cov_280",9
"184","Ntome_NODE_6556_length_2737_cov_35",9
"185","Ntome_NODE_6561_length_2735_cov_277",9
"186","Ntome_NODE_6863_length_2679_cov_211",9
"187","Ntome_NODE_7080_length_2642_cov_197",9
"188","Ntome_NODE_7610_length_2552_cov_274",9
"189","Ntome_NODE_7981_length_2493_cov_147",9
"190","Ntome_NODE_8080_length_2477_cov_295",9
"191","Ntome_NODE_8273_length_2446_cov_137",9
"192","Ntome_NODE_847_length_5310_cov_97",9
"193","Ntome_NODE_86_length_8769_cov_146",9
"194","Ntome_NODE_9079_length_2327_cov_32",9
"195","Ntome_NODE_9112_length_2322_cov_220",9
"196","Ntome_NODE_95_length_8630_cov_64",9
"197","Ntome_NODE_10562_length_2124_cov_263",8
"198","Ntome_NODE_1063_length_5004_cov_88",8
"199","Ntome_NODE_1104_length_4943_cov_306",8
"200","Ntome_NODE_11087_length_2063_cov_57",8
"201","Ntome_NODE_11102_length_2060_cov_43",8
"202","Ntome_NODE_11364_length_2029_cov_168",8
"203","Ntome_NODE_1152_length_4898_cov_67",8
"204","Ntome_NODE_1166_length_4881_cov_192",8
"205","Ntome_NODE_1184_length_4857_cov_129",8
"206","Ntome_NODE_12548_length_1893_cov_39",8
"207","Ntome_NODE_12663_length_1879_cov_207",8
"208","Ntome_NODE_1299_length_4730_cov_161",8
"209","Ntome_NODE_13073_length_1834_cov_47",8
"210","Ntome_NODE_1356_length_4672_cov_149",8
"211","Ntome_NODE_13600_length_1776_cov_272",8
"212","Ntome_NODE_1407_length_4624_cov_224",8
"213","Ntome_NODE_14414_length_1694_cov_103",8
"214","Ntome_NODE_14719_length_1663_cov_288",8
"215","Ntome_NODE_14784_length_1657_cov_235",8
"216","Ntome_NODE_1480_length_4548_cov_72",8
"217","Ntome_NODE_14888_length_1645_cov_141",8
"218","Ntome_NODE_1513_length_4526_cov_129",8
"219","Ntome_NODE_15447_length_1589_cov_42",8
"220","Ntome_NODE_1609_length_4447_cov_240",8
"221","Ntome_NODE_16358_length_1508_cov_112",8
"222","Ntome_NODE_16414_length_1502_cov_129",8
"223","Ntome_NODE_165_length_7664_cov_114",8
"224","Ntome_NODE_1678_length_4405_cov_102",8
"225","Ntome_NODE_1695_length_4385_cov_66",8
"226","Ntome_NODE_171_length_7622_cov_194",8
"227","Ntome_NODE_17512_length_1402_cov_48",8
"228","Ntome_NODE_1785_length_4322_cov_102",8
"229","Ntome_NODE_18236_length_1338_cov_293",8
"230","Ntome_NODE_1853_length_4270_cov_120",8
"231","Ntome_NODE_18945_length_1281_cov_80",8
"232","Ntome_NODE_1924_length_4223_cov_107",8
"233","Ntome_NODE_196_length_7467_cov_94",8
"234","Ntome_NODE_1978_length_4188_cov_230",8
"235","Ntome_NODE_2042_length_4146_cov_298",8
"236","Ntome_NODE_20531_length_1152_cov_4",8
"237","Ntome_NODE_2212_length_4053_cov_253",8
"238","Ntome_NODE_2237_length_4041_cov_251",8
"239","Ntome_NODE_2256_length_4030_cov_159",8
"240","Ntome_NODE_229_length_7223_cov_181",8
"241","Ntome_NODE_2325_length_3995_cov_144",8
"242","Ntome_NODE_233_length_7186_cov_28",8
"243","Ntome_NODE_2342_length_3988_cov_137",8
"244","Ntome_NODE_2347_length_3986_cov_123",8
"245","Ntome_NODE_2420_length_3948_cov_211",8
"246","Ntome_NODE_2427_length_3943_cov_261",8
"247","Ntome_NODE_24485_length_893_cov_180",8
"248","Ntome_NODE_257_length_7029_cov_174",8
"249","Ntome_NODE_2723_length_3803_cov_298",8
"250","Ntome_NODE_2801_length_3771_cov_82",8
"251","Ntome_NODE_281_length_6855_cov_188",8
"252","Ntome_NODE_28251_length_699_cov_10",8
"253","Ntome_NODE_2826_length_3764_cov_83",8
"254","Ntome_NODE_2840_length_3760_cov_238",8
"255","Ntome_NODE_2881_length_3746_cov_203",8
"256","Ntome_NODE_2885_length_3744_cov_258",8
"257","Ntome_NODE_2893_length_3740_cov_226",8
"258","Ntome_NODE_29_length_10694_cov_263",8
"259","Ntome_NODE_2915_length_3729_cov_138",8
"260","Ntome_NODE_2929_length_3725_cov_133",8
"261","Ntome_NODE_298_length_6739_cov_68",8
"262","Ntome_NODE_2981_length_3705_cov_177",8
"263","Ntome_NODE_3017_length_3692_cov_162",8
"264","Ntome_NODE_302_length_6713_cov_161",8
"265","Ntome_NODE_3033_length_3687_cov_34",8
"266","Ntome_NODE_3118_length_3652_cov_24",8
"267","Ntome_NODE_3120_length_3649_cov_174",8
"268","Ntome_NODE_3129_length_3646_cov_199",8
"269","Ntome_NODE_313_length_6636_cov_96",8
"270","Ntome_NODE_3136_length_3644_cov_263",8
"271","Ntome_NODE_3214_length_3616_cov_80",8
"272","Ntome_NODE_3291_length_3591_cov_44",8
"273","Ntome_NODE_3303_length_3586_cov_125",8
"274","Ntome_NODE_3332_length_3573_cov_202",8
"275","Ntome_NODE_3339_length_3572_cov_59",8
"276","Ntome_NODE_35_length_10358_cov_88",8
"277","Ntome_NODE_3520_length_3507_cov_238",8
"278","Ntome_NODE_35273_length_363_cov_4",8
"279","Ntome_NODE_356_length_6470_cov_274",8
"280","Ntome_NODE_3565_length_3495_cov_133",8
"281","Ntome_NODE_3574_length_3493_cov_124",8
"282","Ntome_NODE_3599_length_3485_cov_147",8
"283","Ntome_NODE_3626_length_3477_cov_269",8
"284","Ntome_NODE_37359_length_302_cov_7",8
"285","Ntome_NODE_3746_length_3436_cov_187",8
"286","Ntome_NODE_3812_length_3416_cov_131",8
"287","Ntome_NODE_3818_length_3413_cov_191",8
"288","Ntome_NODE_384_length_6382_cov_235",8
"289","Ntome_NODE_3897_length_3389_cov_120",8
"290","Ntome_NODE_3910_length_3384_cov_159",8
"291","Ntome_NODE_4003_length_3350_cov_138",8
"292","Ntome_NODE_4015_length_3345_cov_159",8
"293","Ntome_NODE_4057_length_3333_cov_28",8
"294","Ntome_NODE_4244_length_3279_cov_109",8
"295","Ntome_NODE_433_length_6221_cov_85",8
"296","Ntome_NODE_44_length_10048_cov_211",8
"297","Ntome_NODE_4530_length_3202_cov_105",8
"298","Ntome_NODE_4548_length_3197_cov_254",8
"299","Ntome_NODE_4649_length_3171_cov_108",8
"300","Ntome_NODE_4830_length_3126_cov_147",8
"301","Ntome_NODE_4843_length_3123_cov_149",8
"302","Ntome_NODE_4988_length_3085_cov_224",8
"303","Ntome_NODE_5_length_14762_cov_269",8
"304","Ntome_NODE_5019_length_3075_cov_178",8
"305","Ntome_NODE_5023_length_3073_cov_230",8
"306","Ntome_NODE_5141_length_3046_cov_144",8
"307","Ntome_NODE_5152_length_3044_cov_109",8
"308","Ntome_NODE_5342_length_2998_cov_88",8
"309","Ntome_NODE_5473_length_2969_cov_180",8
"310","Ntome_NODE_5477_length_2968_cov_168",8
"311","Ntome_NODE_565_length_5849_cov_122",8
"312","Ntome_NODE_583_length_5804_cov_188",8
"313","Ntome_NODE_5897_length_2872_cov_91",8
"314","Ntome_NODE_595_length_5782_cov_127",8
"315","Ntome_NODE_6030_length_2842_cov_171",8
"316","Ntome_NODE_617_length_5730_cov_225",8
"317","Ntome_NODE_6209_length_2809_cov_118",8
"318","Ntome_NODE_6232_length_2802_cov_183",8
"319","Ntome_NODE_6287_length_2790_cov_143",8
"320","Ntome_NODE_6305_length_2787_cov_87",8
"321","Ntome_NODE_633_length_5687_cov_135",8
"322","Ntome_NODE_642_length_5660_cov_186",8
"323","Ntome_NODE_6539_length_2740_cov_288",8
"324","Ntome_NODE_6562_length_2736_cov_181",8
"325","Ntome_NODE_6565_length_2736_cov_26",8
"326","Ntome_NODE_6654_length_2720_cov_199",8
"327","Ntome_NODE_6667_length_2717_cov_56",8
"328","Ntome_NODE_6689_length_2715_cov_92",8
"329","Ntome_NODE_6809_length_2693_cov_137",8
"330","Ntome_NODE_694_length_5571_cov_294",8
"331","Ntome_NODE_7190_length_2624_cov_28",8
"332","Ntome_NODE_720_length_5524_cov_55",8
"333","Ntome_NODE_7215_length_2619_cov_97",8
"334","Ntome_NODE_736_length_5486_cov_290",8
"335","Ntome_NODE_7390_length_2587_cov_223",8
"336","Ntome_NODE_7417_length_2583_cov_222",8
"337","Ntome_NODE_7458_length_2577_cov_79",8
"338","Ntome_NODE_7633_length_2550_cov_136",8
"339","Ntome_NODE_7671_length_2545_cov_124",8
"340","Ntome_NODE_8377_length_2430_cov_261",8
"341","Ntome_NODE_8531_length_2408_cov_160",8
"342","Ntome_NODE_864_length_5280_cov_133",8
"343","Ntome_NODE_8752_length_2377_cov_267",8
"344","Ntome_NODE_8847_length_2362_cov_68",8
"345","Ntome_NODE_892_length_5239_cov_128",8
"346","Ntome_NODE_896_length_5233_cov_302",8
"347","Ntome_NODE_899_length_5229_cov_112",8
"348","Ntome_NODE_9085_length_2325_cov_98",8
"349","Ntome_NODE_9125_length_2320_cov_259",8
"350","Ntome_NODE_9248_length_2302_cov_269",8
"351","Ntome_NODE_9286_length_2297_cov_240",8
"352","Ntome_NODE_942_length_5173_cov_195",8
"353","Ntome_NODE_9585_length_2256_cov_120",8
"354","Ntome_NODE_9649_length_2245_cov_293",8
"355","Ntome_NODE_1010_length_5075_cov_187",7
"356","Ntome_NODE_1040_length_5029_cov_203",7
"357","Ntome_NODE_10428_length_2142_cov_208",7
"358","Ntome_NODE_1046_length_5024_cov_176",7
"359","Ntome_NODE_1049_length_5022_cov_224",7
"360","Ntome_NODE_105_length_8440_cov_257",7
"361","Ntome_NODE_1052_length_5017_cov_183",7
"362","Ntome_NODE_10539_length_2126_cov_135",7
"363","Ntome_NODE_10567_length_2124_cov_161",7
"364","Ntome_NODE_106_length_8402_cov_102",7
"365","Ntome_NODE_10722_length_2105_cov_75",7
"366","Ntome_NODE_10723_length_2105_cov_74",7
"367","Ntome_NODE_1080_length_4985_cov_172",7
"368","Ntome_NODE_10802_length_2095_cov_255",7
"369","Ntome_NODE_11_length_12518_cov_95",7
"370","Ntome_NODE_11121_length_2057_cov_242",7
"371","Ntome_NODE_11209_length_2048_cov_210",7
"372","Ntome_NODE_1133_length_4914_cov_193",7
"373","Ntome_NODE_11471_length_2017_cov_68",7
"374","Ntome_NODE_11632_length_1998_cov_265",7
"375","Ntome_NODE_11670_length_1994_cov_182",7
"376","Ntome_NODE_11690_length_1992_cov_286",7
"377","Ntome_NODE_11808_length_1980_cov_156",7
"378","Ntome_NODE_1181_length_4860_cov_74",7
"379","Ntome_NODE_11857_length_1975_cov_121",7
"380","Ntome_NODE_11930_length_1966_cov_21",7
"381","Ntome_NODE_1196_length_4846_cov_250",7
"382","Ntome_NODE_1215_length_4815_cov_46",7
"383","Ntome_NODE_12174_length_1937_cov_159",7
"384","Ntome_NODE_12221_length_1930_cov_255",7
"385","Ntome_NODE_1224_length_4808_cov_137",7
"386","Ntome_NODE_12289_length_1922_cov_302",7
"387","Ntome_NODE_12308_length_1921_cov_95",7
"388","Ntome_NODE_12386_length_1910_cov_168",7
"389","Ntome_NODE_1240_length_4791_cov_267",7
"390","Ntome_NODE_12411_length_1907_cov_190",7
"391","Ntome_NODE_1255_length_4777_cov_242",7
"392","Ntome_NODE_12580_length_1890_cov_23",7
"393","Ntome_NODE_12586_length_1889_cov_141",7
"394","Ntome_NODE_1261_length_4770_cov_93",7
"395","Ntome_NODE_12618_length_1884_cov_291",7
"396","Ntome_NODE_1279_length_4751_cov_189",7
"397","Ntome_NODE_1283_length_4749_cov_282",7
"398","Ntome_NODE_12841_length_1857_cov_159",7
"399","Ntome_NODE_12881_length_1853_cov_171",7
"400","Ntome_NODE_12886_length_1853_cov_39",7
"401","Ntome_NODE_1294_length_4738_cov_153",7
"402","Ntome_NODE_1312_length_4715_cov_189",7
"403","Ntome_NODE_13136_length_1827_cov_144",7
"404","Ntome_NODE_1327_length_4700_cov_229",7
"405","Ntome_NODE_13271_length_1811_cov_80",7
"406","Ntome_NODE_13277_length_1809_cov_272",7
"407","Ntome_NODE_13316_length_1807_cov_26",7
"408","Ntome_NODE_13363_length_1801_cov_57",7
"409","Ntome_NODE_1349_length_4678_cov_210",7
"410","Ntome_NODE_13810_length_1756_cov_246",7
"411","Ntome_NODE_1396_length_4636_cov_255",7
"412","Ntome_NODE_140_length_7962_cov_220",7
"413","Ntome_NODE_14072_length_1730_cov_176",7
"414","Ntome_NODE_14263_length_1709_cov_138",7
"415","Ntome_NODE_1431_length_4601_cov_156",7
"416","Ntome_NODE_1434_length_4596_cov_203",7
"417","Ntome_NODE_14349_length_1700_cov_197",7
"418","Ntome_NODE_1446_length_4584_cov_148",7
"419","Ntome_NODE_1449_length_4579_cov_260",7
"420","Ntome_NODE_14596_length_1676_cov_154",7
"421","Ntome_NODE_14616_length_1675_cov_25",7
"422","Ntome_NODE_1471_length_4558_cov_195",7
"423","Ntome_NODE_14744_length_1661_cov_121",7
"424","Ntome_NODE_14915_length_1643_cov_180",7
"425","Ntome_NODE_1532_length_4512_cov_85",7
"426","Ntome_NODE_15444_length_1589_cov_122",7
"427","Ntome_NODE_1575_length_4475_cov_133",7
"428","Ntome_NODE_16053_length_1535_cov_33",7
"429","Ntome_NODE_1607_length_4446_cov_283",7
"430","Ntome_NODE_16185_length_1522_cov_227",7
"431","Ntome_NODE_16294_length_1512_cov_224",7
"432","Ntome_NODE_163_length_7689_cov_283",7
"433","Ntome_NODE_164_length_7676_cov_207",7
"434","Ntome_NODE_16643_length_1482_cov_293",7
"435","Ntome_NODE_1671_length_4408_cov_207",7
"436","Ntome_NODE_16904_length_1456_cov_214",7
"437","Ntome_NODE_16922_length_1455_cov_73",7
"438","Ntome_NODE_17175_length_1433_cov_41",7
"439","Ntome_NODE_17565_length_1396_cov_219",7
"440","Ntome_NODE_1767_length_4333_cov_202",7
"441","Ntome_NODE_17707_length_1383_cov_110",7
"442","Ntome_NODE_1772_length_4332_cov_106",7
"443","Ntome_NODE_1789_length_4320_cov_189",7
"444","Ntome_NODE_1795_length_4314_cov_185",7
"445","Ntome_NODE_18031_length_1355_cov_258",7
"446","Ntome_NODE_1820_length_4294_cov_267",7
"447","Ntome_NODE_183_length_7537_cov_110",7
"448","Ntome_NODE_1833_length_4284_cov_158",7
"449","Ntome_NODE_1851_length_4271_cov_133",7
"450","Ntome_NODE_18869_length_1286_cov_126",7
"451","Ntome_NODE_18950_length_1280_cov_277",7
"452","Ntome_NODE_1925_length_4222_cov_199",7
"453","Ntome_NODE_19341_length_1248_cov_92",7
"454","Ntome_NODE_1935_length_4220_cov_38",7
"455","Ntome_NODE_1939_length_4215_cov_268",7
"456","Ntome_NODE_19515_length_1233_cov_30",7
"457","Ntome_NODE_1960_length_4202_cov_111",7
"458","Ntome_NODE_19630_length_1223_cov_175",7
"459","Ntome_NODE_198_length_7447_cov_152",7
"460","Ntome_NODE_19946_length_1196_cov_243",7
"461","Ntome_NODE_20032_length_1189_cov_163",7
"462","Ntome_NODE_2020_length_4159_cov_187",7
"463","Ntome_NODE_204_length_7420_cov_91",7
"464","Ntome_NODE_20585_length_1146_cov_296",7
"465","Ntome_NODE_20607_length_1145_cov_13",7
"466","Ntome_NODE_2091_length_4113_cov_131",7
"467","Ntome_NODE_21119_length_1107_cov_81",7
"468","Ntome_NODE_21366_length_1090_cov_242",7
"469","Ntome_NODE_21408_length_1088_cov_69",7
"470","Ntome_NODE_2169_length_4076_cov_286",7
"471","Ntome_NODE_21696_length_1068_cov_25",7
"472","Ntome_NODE_2170_length_4075_cov_242",7
"473","Ntome_NODE_2190_length_4066_cov_99",7
"474","Ntome_NODE_2200_length_4062_cov_75",7
"475","Ntome_NODE_2210_length_4055_cov_208",7
"476","Ntome_NODE_2219_length_4051_cov_66",7
"477","Ntome_NODE_2225_length_4045_cov_225",7
"478","Ntome_NODE_225_length_7256_cov_115",7
"479","Ntome_NODE_22691_length_1004_cov_34",7
"480","Ntome_NODE_22733_length_1001_cov_312",7
"481","Ntome_NODE_2285_length_4014_cov_155",7
"482","Ntome_NODE_22864_length_991_cov_89",7
"483","Ntome_NODE_23236_length_969_cov_51",7
"484","Ntome_NODE_2334_length_3992_cov_234",7
"485","Ntome_NODE_235_length_7165_cov_86",7
"486","Ntome_NODE_23856_length_933_cov_155",7
"487","Ntome_NODE_24045_length_922_cov_16",7
"488","Ntome_NODE_24046_length_922_cov_13",7
"489","Ntome_NODE_2426_length_3944_cov_281",7
"490","Ntome_NODE_246_length_7121_cov_266",7
"491","Ntome_NODE_247_length_7111_cov_91",7
"492","Ntome_NODE_2471_length_3921_cov_215",7
"493","Ntome_NODE_2482_length_3916_cov_62",7
"494","Ntome_NODE_249_length_7096_cov_217",7
"495","Ntome_NODE_2494_length_3912_cov_126",7
"496","Ntome_NODE_24997_length_863_cov_312",7
"497","Ntome_NODE_2516_length_3902_cov_145",7
"498","Ntome_NODE_2540_length_3889_cov_184",7
"499","Ntome_NODE_2573_length_3873_cov_78",7
"500","Ntome_NODE_25845_length_813_cov_49",7
"501","Ntome_NODE_2637_length_3845_cov_73",7
"502","Ntome_NODE_2644_length_3841_cov_175",7
"503","Ntome_NODE_2657_length_3834_cov_260",7
"504","Ntome_NODE_267_length_6986_cov_247",7
"505","Ntome_NODE_26983_length_759_cov_227",7
"506","Ntome_NODE_2706_length_3811_cov_153",7
"507","Ntome_NODE_2720_length_3805_cov_176",7
"508","Ntome_NODE_2727_length_3801_cov_198",7
"509","Ntome_NODE_2794_length_3773_cov_213",7
"510","Ntome_NODE_2804_length_3770_cov_109",7
"511","Ntome_NODE_2827_length_3764_cov_27",7
"512","Ntome_NODE_285_length_6816_cov_99",7
"513","Ntome_NODE_2857_length_3753_cov_86",7
"514","Ntome_NODE_287_length_6801_cov_270",7
"515","Ntome_NODE_290_length_6766_cov_97",7
"516","Ntome_NODE_291_length_6760_cov_264",7
"517","Ntome_NODE_2928_length_3725_cov_174",7
"518","Ntome_NODE_2952_length_3718_cov_186",7
"519","Ntome_NODE_2999_length_3698_cov_35",7
"520","Ntome_NODE_30_length_10605_cov_97",7
"521","Ntome_NODE_3007_length_3696_cov_154",7
