,Query.seq.ID,Subject.seq.ID,X.ID,Alignment.length,X..mismatches,X..gap.openings,start.in.query,end.in.query,start.in.subject,end.in.subject,evalue,bitscore,match.length.query,match.length.subject
4915,Ntome_NODE_1071_length_4997_cov_170,Nsylvestris_NODE_5618_length_2835_cov_153,96.465,2433,77,6,154,2579,2823,393,0,4008,2425,2430
5012,Ntome_NODE_1099_length_4946_cov_245,Nsylvestris_NODE_1158_length_4748_cov_123,96.375,4662,149,7,81,4737,52,4698,0,7655,4656,4646
5144,Ntome_NODE_1132_length_4916_cov_30,Nsylvestris_NODE_925_length_5053_cov_43,96.469,4899,158,7,1,4885,4898,1,0,8074,4884,4897
5171,Ntome_NODE_1139_length_4908_cov_252,Nsylvestris_NODE_1191_length_4709_cov_224,97.342,4627,92,13,1,4599,4625,2,0,7834,4598,4623
5181,Ntome_NODE_1143_length_4904_cov_140,Nsylvestris_NODE_989_length_4970_cov_182,96.412,4905,120,27,8,4902,4967,109,0,8032,4894,4858
5225,Ntome_NODE_1150_length_4898_cov_30,Nsylvestris_NODE_36370_length_264_cov_4,83.571,280,30,4,139,418,1,264,4.26E-64,248,279,263
5309,Ntome_NODE_1171_length_4873_cov_148,Nsylvestris_NODE_28816_length_592_cov_8,79.897,388,64,9,2322,2696,3,389,2.52E-71,272,374,386
5352,Ntome_NODE_1183_length_4859_cov_78,Nsylvestris_NODE_1054_length_4875_cov_139,89.13,46,5,0,3861,3906,2716,2671,7.64E-07,58.4,45,45
5761,Ntome_NODE_1282_length_4750_cov_151,Nsylvestris_NODE_12558_length_1808_cov_220,96.014,1430,54,2,3249,4675,1597,168,0,2322,1426,1429
5970,Ntome_NODE_1332_length_4699_cov_92,Nsylvestris_NODE_2253_length_3913_cov_88,98.827,3581,42,0,3,3583,3853,273,0,6381,3580,3580
6087,Ntome_NODE_1364_length_4663_cov_85,Nsylvestris_NODE_30981_length_453_cov_2,80.8,125,24,0,1212,1336,232,108,4.32E-19,99,124,124
6313,Ntome_NODE_1417_length_4614_cov_68,Nsylvestris_NODE_1483_length_4412_cov_12,93.462,4451,233,14,147,4578,4412,1,0,6554,4431,4411
6743,Ntome_NODE_1525_length_4517_cov_41,Nsylvestris_NODE_36186_length_269_cov_3,93.6,125,7,1,613,736,238,114,3.12E-45,185,123,124
6861,Ntome_NODE_1555_length_4491_cov_264,Nsylvestris_NODE_1525_length_4376_cov_205,97.62,4328,89,10,137,4462,4376,61,0,7409,4325,4315
7001,Ntome_NODE_1593_length_4459_cov_160,Nsylvestris_NODE_3864_length_3280_cov_151,97.212,3192,82,3,1219,4410,3279,95,0,5395,3191,3184
7236,Ntome_NODE_1653_length_4420_cov_228,Nsylvestris_NODE_1853_length_4147_cov_145,97.283,4086,102,7,211,4294,4147,69,0,6922,4083,4078
7315,Ntome_NODE_1676_length_4407_cov_65,Nsylvestris_NODE_1496_length_4403_cov_97,95.602,4184,151,7,238,4407,52,4216,0,6676,4169,4164
7400,Ntome_NODE_1696_length_4385_cov_34,Nsylvestris_NODE_6173_length_2722_cov_72,91.137,1918,124,12,2491,4385,770,2664,0,2558,1894,1894
7653,Ntome_NODE_1752_length_4341_cov_22,Nsylvestris_NODE_1454_length_4445_cov_170,96.204,4347,140,13,4,4341,73,4403,0,7090,4337,4330
7936,Ntome_NODE_1819_length_4295_cov_49,Nsylvestris_NODE_2035_length_4032_cov_82,95.907,3982,118,7,18,3956,3,3982,0,6408,3938,3979
8271,Ntome_NODE_1900_length_4235_cov_126,Nsylvestris_NODE_1626_length_4313_cov_129,97.548,4241,83,7,1,4224,58,4294,0,7236,4223,4236
8280,Ntome_NODE_1903_length_4234_cov_152,Nsylvestris_NODE_18236_length_1247_cov_32,94.055,1026,59,2,3210,4234,1179,155,0,1555,1024,1024
8323,Ntome_NODE_1913_length_4227_cov_203,Nsylvestris_NODE_1988_length_4063_cov_181,95.864,4038,127,16,166,4184,1,4017,0,6495,4018,4016
8483,Ntome_NODE_1952_length_4208_cov_51,Nsylvestris_NODE_34524_length_307_cov_3,94.444,306,17,0,792,1097,306,1,1.99E-131,472,305,305
8922,Ntome_NODE_2060_length_4135_cov_74,Nsylvestris_NODE_1896_length_4120_cov_101,94.483,4133,149,45,38,4135,4120,32,0,6296,4097,4088
8960,Ntome_NODE_2072_length_4128_cov_235,Nsylvestris_NODE_1798_length_4179_cov_146,95.311,4073,131,28,42,4077,58,4107,0,6408,4035,4049
9001,Ntome_NODE_2085_length_4115_cov_260,Nsylvestris_NODE_2431_length_3825_cov_140,94.453,3714,119,31,128,3791,4,3680,0,5637,3663,3676
9063,Ntome_NODE_2102_length_4109_cov_77,Nsylvestris_NODE_2333_length_3881_cov_52,94.986,3829,187,3,237,4060,3881,53,0,6002,3823,3828
9136,Ntome_NODE_2121_length_4098_cov_51,Nsylvestris_NODE_1913_length_4104_cov_108,96.76,3920,120,4,134,4047,4013,95,0,6529,3913,3918
9629,Ntome_NODE_2253_length_4032_cov_53,Nsylvestris_NODE_2148_length_3965_cov_56,94.908,3947,191,5,95,4032,1,3946,0,6167,3937,3945
9757,Ntome_NODE_2286_length_4014_cov_121,Nsylvestris_NODE_1475_length_4421_cov_114,95.832,3959,122,12,42,3984,447,4378,0,6357,3942,3931
10294,Ntome_NODE_2425_length_3946_cov_63,Nsylvestris_NODE_2290_length_3898_cov_70,95.56,3671,136,6,5,3671,3898,251,0,5851,3666,3647
10414,Ntome_NODE_2457_length_3927_cov_57,Nsylvestris_NODE_2093_length_3999_cov_136,95.732,3889,122,19,59,3923,3869,1,0,6222,3864,3868
10453,Ntome_NODE_2469_length_3921_cov_71,Nsylvestris_NODE_2783_length_3671_cov_183,95.424,3584,150,6,341,3921,49,3621,0,5698,3580,3572
10633,Ntome_NODE_2522_length_3898_cov_200,Nsylvestris_NODE_124_length_8100_cov_69,86.614,127,16,1,571,696,70,196,2.13E-31,139,125,126
10634,Ntome_NODE_2523_length_3897_cov_215,Nsylvestris_NODE_1502_length_4395_cov_193,96.717,3868,91,14,45,3897,371,4217,0,6407,3852,3846
10721,Ntome_NODE_2543_length_3888_cov_80,Nsylvestris_NODE_2604_length_3744_cov_34,95.828,3691,136,5,77,3756,61,3744,0,5947,3679,3683
10747,Ntome_NODE_2550_length_3884_cov_245,Nsylvestris_NODE_2395_length_3842_cov_210,97.416,3792,82,7,56,3843,1,3780,0,6445,3787,3779
11008,Ntome_NODE_2615_length_3852_cov_263,Nsylvestris_NODE_1774_length_4193_cov_175,96.987,3585,94,3,94,3678,3,3573,0,6010,3584,3570
11101,Ntome_NODE_2640_length_3844_cov_44,Nsylvestris_NODE_3070_length_3555_cov_66,94.847,3474,155,5,90,3560,56,3508,0,5402,3470,3452
11266,Ntome_NODE_2688_length_3820_cov_60,Nsylvestris_NODE_2280_length_3902_cov_113,95.492,3394,111,23,58,3446,288,3644,0,5382,3388,3356
11472,Ntome_NODE_2737_length_3798_cov_115,Nsylvestris_NODE_2710_length_3700_cov_109,95.12,3627,136,14,78,3697,3616,24,0,5679,3619,3592
11618,Ntome_NODE_2778_length_3777_cov_226,Nsylvestris_NODE_845_length_5164_cov_145,95.896,3338,135,1,92,3427,106,3443,0,5404,3335,3337
11660,Ntome_NODE_2791_length_3774_cov_273,Nsylvestris_NODE_1536_length_4371_cov_182,94.692,3674,145,21,2,3664,4367,733,0,5659,3662,3634
11919,Ntome_NODE_2853_length_3755_cov_60,Nsylvestris_NODE_2708_length_3701_cov_37,96.643,3724,81,11,49,3751,3701,1,0,6144,3702,3700
11969,Ntome_NODE_2868_length_3750_cov_151,Nsylvestris_NODE_10882_length_2002_cov_215,95.014,1725,74,9,50,1764,1846,124,0,2699,1714,1722
11976,Ntome_NODE_2870_length_3749_cov_250,Nsylvestris_NODE_2526_length_3780_cov_208,95.389,3687,109,21,50,3700,109,3770,0,5810,3650,3661
12090,Ntome_NODE_2898_length_3737_cov_129,Nsylvestris_NODE_4083_length_3209_cov_107,94.073,3138,131,23,65,3160,3173,49,0,4713,3095,3124
12140,Ntome_NODE_2911_length_3732_cov_164,Nsylvestris_NODE_2673_length_3714_cov_138,90.727,3688,220,53,47,3670,77,3706,0,4804,3623,3629
12184,Ntome_NODE_2921_length_3728_cov_42,Nsylvestris_NODE_2424_length_3829_cov_166,95.975,3627,86,18,107,3728,49,3620,0,5834,3621,3571
12368,Ntome_NODE_2971_length_3711_cov_283,Nsylvestris_NODE_2845_length_3639_cov_205,96.415,3654,82,17,54,3691,19,3639,0,5976,3637,3620
12513,Ntome_NODE_3009_length_3696_cov_35,Nsylvestris_NODE_2688_length_3710_cov_68,96.145,3709,118,7,4,3695,1,3701,0,6034,3691,3700
12577,Ntome_NODE_3025_length_3689_cov_260,Nsylvestris_NODE_2460_length_3809_cov_226,96.499,3656,88,12,46,3687,159,3788,0,6006,3641,3629
12718,Ntome_NODE_3061_length_3674_cov_66,Nsylvestris_NODE_3409_length_3434_cov_42,92.982,3420,171,26,113,3499,3396,13,0,4922,3386,3383
12735,Ntome_NODE_3065_length_3672_cov_96,Nsylvestris_NODE_2999_length_3588_cov_69,98.161,3481,63,1,54,3533,3481,1,0,6072,3479,3480
12834,Ntome_NODE_3093_length_3660_cov_296,Nsylvestris_NODE_2654_length_3721_cov_230,97.765,3624,68,4,48,3660,3622,1,0,6231,3612,3621
12944,Ntome_NODE_3119_length_3650_cov_176,Nsylvestris_NODE_5060_length_2958_cov_70,95.914,2692,97,7,65,2747,5,2692,0,4349,2682,2687
13013,Ntome_NODE_3135_length_3645_cov_11,Nsylvestris_NODE_3169_length_3518_cov_171,96.346,3476,116,6,1,3466,24,3498,0,5705,3465,3474
13024,Ntome_NODE_3138_length_3643_cov_49,Nsylvestris_NODE_2329_length_3881_cov_160,95.409,3659,118,18,9,3643,3673,41,0,5781,3634,3632
13112,Ntome_NODE_3160_length_3634_cov_51,Nsylvestris_NODE_2929_length_3610_cov_54,95.116,3563,166,7,71,3632,3588,33,0,5609,3561,3555
13244,Ntome_NODE_3195_length_3623_cov_69,Nsylvestris_NODE_3258_length_3487_cov_43,95.931,3441,120,7,19,3445,4,3438,0,5561,3426,3434
13294,Ntome_NODE_3211_length_3618_cov_191,Nsylvestris_NODE_3081_length_3549_cov_195,96.492,3449,104,5,37,3481,3486,51,0,5683,3444,3435
13477,Ntome_NODE_3262_length_3601_cov_213,Nsylvestris_NODE_4199_length_3176_cov_199,97.603,3004,52,8,613,3599,3055,55,0,5131,2986,3000
13561,Ntome_NODE_3286_length_3592_cov_55,Nsylvestris_NODE_32055_length_392_cov_2,87.143,70,7,2,2296,2364,168,100,4.33E-13,78.7,68,68
13594,Ntome_NODE_3293_length_3590_cov_84,Nsylvestris_NODE_3280_length_3481_cov_185,97.466,3433,63,10,50,3466,3447,23,0,5836,3416,3424
13825,Ntome_NODE_3356_length_3566_cov_181,Nsylvestris_NODE_3545_length_3385_cov_168,97.408,3318,79,4,73,3385,1,3316,0,5644,3312,3315
13842,Ntome_NODE_3360_length_3566_cov_65,Nsylvestris_NODE_2718_length_3697_cov_88,97.51,3494,80,3,77,3566,3526,36,0,5963,3489,3490
14004,Ntome_NODE_3406_length_3545_cov_180,Nsylvestris_NODE_3033_length_3574_cov_154,97.603,3504,68,8,1,3499,3543,51,0,5991,3498,3492
14077,Ntome_NODE_3426_length_3539_cov_176,Nsylvestris_NODE_3670_length_3344_cov_147,97.428,3266,70,7,91,3356,3279,28,0,5553,3265,3251
14367,Ntome_NODE_3502_length_3516_cov_177,Nsylvestris_NODE_3111_length_3539_cov_191,96.365,3466,98,8,1,3466,6,3443,0,5677,3465,3437
14872,Ntome_NODE_3638_length_3471_cov_110,Nsylvestris_NODE_3752_length_3318_cov_153,97.088,3056,77,3,54,3104,3049,1,0,5140,3050,3048
14951,Ntome_NODE_3662_length_3466_cov_240,Nsylvestris_NODE_2790_length_3666_cov_158,97.349,3470,85,3,1,3466,3579,113,0,5891,3465,3466
14955,Ntome_NODE_3664_length_3466_cov_92,Nsylvestris_NODE_4947_length_2987_cov_37,89.48,2386,182,27,48,2392,4,2361,0,2952,2344,2357
15133,Ntome_NODE_3716_length_3445_cov_78,Nsylvestris_NODE_2651_length_3722_cov_83,97.667,3300,72,3,50,3346,236,3533,0,5662,3296,3297
15213,Ntome_NODE_3736_length_3439_cov_26,Nsylvestris_NODE_3480_length_3408_cov_17,95.602,3320,138,7,124,3437,90,3407,0,5315,3313,3317
15243,Ntome_NODE_3745_length_3436_cov_222,Nsylvestris_NODE_3423_length_3428_cov_231,97.816,3389,68,4,49,3432,40,3427,0,5843,3383,3387
15376,Ntome_NODE_3780_length_3427_cov_29,Nsylvestris_NODE_3565_length_3378_cov_116,94.321,3381,135,15,52,3423,3333,1,0,5127,3371,3332
15484,Ntome_NODE_3813_length_3415_cov_241,Nsylvestris_NODE_3498_length_3402_cov_221,96.505,3376,91,16,1,3363,39,3400,0,5555,3362,3361
15638,Ntome_NODE_3856_length_3402_cov_309,Nsylvestris_NODE_3616_length_3360_cov_171,94.778,3313,160,1,28,3340,25,3324,0,5147,3312,3299
15664,Ntome_NODE_3864_length_3400_cov_92,Nsylvestris_NODE_3536_length_3387_cov_181,94.847,3377,148,8,38,3396,1,3369,0,5249,3358,3368
15700,Ntome_NODE_3875_length_3395_cov_278,Nsylvestris_NODE_2190_length_3940_cov_200,96.163,3362,94,7,1,3351,71,3408,0,5461,3350,3337
15731,Ntome_NODE_3883_length_3393_cov_141,Nsylvestris_NODE_3936_length_3256_cov_141,96.838,3036,77,5,183,3203,3211,180,0,5057,3020,3031
15926,Ntome_NODE_3940_length_3375_cov_76,Nsylvestris_NODE_3129_length_3534_cov_114,94.92,3366,129,20,3,3352,3525,186,0,5230,3349,3339
15931,Ntome_NODE_3942_length_3375_cov_34,Nsylvestris_NODE_5980_length_2765_cov_72,95.838,2571,101,4,1,2567,2685,117,0,4150,2566,2568
16337,Ntome_NODE_4055_length_3333_cov_129,Nsylvestris_NODE_19453_length_1148_cov_27,89.758,908,62,8,2312,3212,8,891,0,1133,900,883
16361,Ntome_NODE_4061_length_3331_cov_262,Nsylvestris_NODE_4603_length_3072_cov_226,96.343,2707,80,7,64,2763,2850,156,0,4433,2699,2694
16712,Ntome_NODE_4160_length_3305_cov_210,Nsylvestris_NODE_3483_length_3406_cov_194,95.984,3237,115,13,54,3288,3261,38,0,5243,3234,3223
16788,Ntome_NODE_4181_length_3301_cov_161,Nsylvestris_NODE_4095_length_3204_cov_107,95.253,3202,118,17,115,3288,3196,1,0,5040,3173,3195
16808,Ntome_NODE_4186_length_3300_cov_252,Nsylvestris_NODE_3959_length_3246_cov_183,95.278,3198,137,7,35,3221,1,3195,0,5057,3186,3194
17068,Ntome_NODE_4260_length_3274_cov_215,Nsylvestris_NODE_3609_length_3361_cov_218,95.626,3269,131,6,7,3266,89,3354,0,5234,3259,3265
17070,Ntome_NODE_4262_length_3273_cov_206,Nsylvestris_NODE_4558_length_3083_cov_185,96.511,3038,76,12,52,3086,3011,1,0,4996,3034,3010
17093,Ntome_NODE_4268_length_3272_cov_34,Nsylvestris_NODE_12459_length_1821_cov_28,95.677,1573,68,0,463,2035,94,1666,0,2529,1572,1572
17195,Ntome_NODE_4300_length_3261_cov_38,Nsylvestris_NODE_4858_length_3006_cov_16,95.148,2906,128,12,364,3259,45,2947,0,4573,2895,2902
17264,Ntome_NODE_4317_length_3256_cov_116,Nsylvestris_NODE_6711_length_2620_cov_28,95.25,2463,107,2,743,3205,2620,168,0,3892,2462,2452
17265,Ntome_NODE_4318_length_3256_cov_87,Nsylvestris_NODE_3772_length_3312_cov_63,92.885,3289,165,15,1,3246,3265,3,0,4713,3245,3262
17266,Ntome_NODE_4319_length_3255_cov_289,Nsylvestris_NODE_4760_length_3031_cov_150,96.701,2971,79,3,33,3003,28,2979,0,4926,2970,2951
17365,Ntome_NODE_4346_length_3251_cov_16,Nsylvestris_NODE_2819_length_3654_cov_52,97.919,3219,65,2,35,3251,3267,49,0,5572,3216,3218
17536,Ntome_NODE_4399_length_3239_cov_104,Nsylvestris_NODE_4145_length_3190_cov_135,96.305,3004,99,6,56,3059,3046,55,0,4922,3003,2991
17581,Ntome_NODE_4414_length_3234_cov_164,Nsylvestris_NODE_4180_length_3181_cov_174,97.585,3106,66,7,132,3232,53,3154,0,5312,3100,3101
17582,Ntome_NODE_4415_length_3234_cov_105,Nsylvestris_NODE_3321_length_3468_cov_119,95.424,3147,132,12,58,3197,3174,33,0,5003,3139,3141
17636,Ntome_NODE_4430_length_3227_cov_156,Nsylvestris_NODE_4604_length_3072_cov_118,96.721,3019,95,3,160,3178,1,3015,0,5024,3018,3014
17999,Ntome_NODE_4531_length_3201_cov_292,Nsylvestris_NODE_4480_length_3103_cov_226,97.348,3054,56,15,152,3192,3044,3,0,5168,3040,3041
18010,Ntome_NODE_4534_length_3201_cov_155,Nsylvestris_NODE_4313_length_3146_cov_236,93.763,2966,135,21,49,2985,202,3146,0,4407,2936,2944
18136,Ntome_NODE_4573_length_3189_cov_33,Nsylvestris_NODE_5451_length_2873_cov_45,96.741,2792,90,1,381,3172,1,2791,0,4650,2791,2790
18174,Ntome_NODE_4587_length_3185_cov_86,Nsylvestris_NODE_3256_length_3487_cov_203,96.321,3044,101,4,47,3089,316,3349,0,4990,3042,3033
18243,Ntome_NODE_4606_length_3181_cov_254,Nsylvestris_NODE_6877_length_2588_cov_231,95.875,2570,76,10,498,3061,3,2548,0,4132,2563,2545
18257,Ntome_NODE_4611_length_3181_cov_76,Nsylvestris_NODE_3731_length_3326_cov_51,95.467,2934,124,9,43,2971,3326,397,0,4673,2928,2929
18471,Ntome_NODE_4678_length_3163_cov_294,Nsylvestris_NODE_4555_length_3084_cov_230,95.711,3031,77,14,39,3032,29,3043,0,4828,2993,3014
18564,Ntome_NODE_4706_length_3158_cov_238,Nsylvestris_NODE_5530_length_2855_cov_224,96.27,2842,94,8,2,2843,2830,1,0,4650,2841,2829
18596,Ntome_NODE_4715_length_3156_cov_204,Nsylvestris_NODE_4627_length_3066_cov_109,96.323,2801,61,7,282,3040,2901,101,0,4564,2758,2800
18651,Ntome_NODE_4733_length_3152_cov_178,Nsylvestris_NODE_8146_length_2381_cov_140,95.705,2375,89,4,575,2946,2381,17,0,3808,2371,2364
18866,Ntome_NODE_4796_length_3134_cov_87,Nsylvestris_NODE_4458_length_3108_cov_33,96.34,3060,101,7,8,3062,55,3108,0,5020,3054,3053
18873,Ntome_NODE_4799_length_3133_cov_210,Nsylvestris_NODE_5442_length_2875_cov_206,96.1,2692,77,13,148,2813,45,2734,0,4364,2665,2689
18990,Ntome_NODE_4832_length_3126_cov_18,Nsylvestris_NODE_2573_length_3759_cov_153,97.618,3148,51,4,1,3126,212,3357,0,5376,3125,3145
19013,Ntome_NODE_4840_length_3123_cov_285,Nsylvestris_NODE_5520_length_2858_cov_108,93.682,2833,135,25,47,2866,2857,56,0,4200,2819,2801
19094,Ntome_NODE_4864_length_3120_cov_35,Nsylvestris_NODE_26225_length_709_cov_5,76.226,530,116,8,580,1104,179,703,1.61E-71,272,524,524
19398,Ntome_NODE_4947_length_3098_cov_246,Nsylvestris_NODE_4374_length_3133_cov_196,96.3,2973,81,13,22,2972,3133,168,0,4854,2950,2965
19538,Ntome_NODE_4984_length_3087_cov_42,Nsylvestris_NODE_5377_length_2891_cov_64,94.06,2761,118,19,330,3064,119,2859,0,4148,2734,2740
19566,Ntome_NODE_4990_length_3085_cov_33,Nsylvestris_NODE_4188_length_3179_cov_43,96.036,3078,110,6,16,3085,60,3133,0,4998,3069,3073
19721,Ntome_NODE_5033_length_3068_cov_299,Nsylvestris_NODE_4796_length_3022_cov_225,94.254,2924,152,11,27,2938,3005,86,0,4455,2911,2919
19744,Ntome_NODE_5041_length_3067_cov_178,Nsylvestris_NODE_4620_length_3067_cov_197,95.4,3022,93,16,61,3064,1,2994,0,4769,3003,2993
19836,Ntome_NODE_5070_length_3061_cov_113,Nsylvestris_NODE_5687_length_2822_cov_26,93.748,2751,141,14,248,2995,53,2775,0,4098,2747,2722
19946,Ntome_NODE_5107_length_3053_cov_49,Nsylvestris_NODE_4327_length_3144_cov_158,95.437,3068,119,5,1,3053,37,3098,0,4870,3052,3061
20141,Ntome_NODE_5153_length_3043_cov_258,Nsylvestris_NODE_5911_length_2779_cov_210,96.933,2739,65,9,178,2908,46,2773,0,4575,2730,2727
20584,Ntome_NODE_5282_length_3011_cov_289,Nsylvestris_NODE_4482_length_3103_cov_205,94.276,3005,97,27,48,2998,3005,22,0,4527,2950,2983
20758,Ntome_NODE_5331_length_3000_cov_225,Nsylvestris_NODE_5595_length_2841_cov_151,96.112,2855,74,14,40,2871,1,2841,0,4623,2831,2840
20898,Ntome_NODE_5370_length_2993_cov_168,Nsylvestris_NODE_6025_length_2755_cov_179,96.938,2711,61,9,187,2879,5,2711,0,4527,2692,2706
20899,Ntome_NODE_5371_length_2993_cov_59,Nsylvestris_NODE_19337_length_1157_cov_20,90.411,73,5,2,2915,2986,793,722,3.58E-18,95.3,71,71
20996,Ntome_NODE_5398_length_2985_cov_273,Nsylvestris_NODE_1784_length_4187_cov_161,96.94,2680,60,8,101,2778,4062,1403,0,4475,2677,2659
21105,Ntome_NODE_5432_length_2978_cov_35,Nsylvestris_NODE_4084_length_3208_cov_128,95.505,2981,116,7,1,2978,3165,200,0,4747,2977,2965
21192,Ntome_NODE_5456_length_2972_cov_214,Nsylvestris_NODE_5061_length_2957_cov_226,94.692,2958,136,7,1,2939,2956,1,0,4573,2938,2955
21198,Ntome_NODE_5458_length_2972_cov_207,Nsylvestris_NODE_5066_length_2956_cov_176,97.431,2958,69,4,6,2958,2956,1,0,5035,2952,2955
21244,Ntome_NODE_5471_length_2970_cov_38,Nsylvestris_NODE_4994_length_2974_cov_114,94.597,2980,107,13,1,2969,2957,21,0,4562,2968,2936
21570,Ntome_NODE_5557_length_2948_cov_290,Nsylvestris_NODE_5542_length_2852_cov_228,94.423,2618,132,7,336,2948,2804,196,0,4013,2612,2608
21812,Ntome_NODE_5634_length_2931_cov_260,Nsylvestris_NODE_5708_length_2818_cov_224,96.503,2774,85,8,96,2860,48,2818,0,4575,2764,2770
21841,Ntome_NODE_5642_length_2929_cov_288,Nsylvestris_NODE_5330_length_2900_cov_172,96.113,2624,76,12,309,2929,104,2704,0,4257,2620,2600
21898,Ntome_NODE_5658_length_2925_cov_283,Nsylvestris_NODE_5677_length_2823_cov_29,95.993,2720,85,10,129,2833,2711,1,0,4397,2704,2710
21937,Ntome_NODE_5670_length_2923_cov_171,Nsylvestris_NODE_4689_length_3047_cov_190,94.39,2959,85,23,3,2922,4,2920,0,4470,2919,2916
22036,Ntome_NODE_5700_length_2918_cov_74,Nsylvestris_NODE_29502_length_563_cov_12,91.963,535,27,8,1019,1544,560,33,0,736,525,527
22116,Ntome_NODE_5725_length_2912_cov_227,Nsylvestris_NODE_5952_length_2769_cov_161,94.691,2769,138,3,47,2808,2767,1,0,4290,2761,2766
22153,Ntome_NODE_5736_length_2909_cov_151,Nsylvestris_NODE_11401_length_1942_cov_11,95.984,1942,78,0,860,2801,1,1942,0,3155,1941,1941
22250,Ntome_NODE_5767_length_2904_cov_226,Nsylvestris_NODE_4770_length_3029_cov_199,98.561,2502,34,2,36,2537,1,2500,0,4420,2501,2499
22363,Ntome_NODE_5801_length_2894_cov_95,Nsylvestris_NODE_5846_length_2793_cov_69,94.434,2767,102,24,68,2808,2792,52,0,4209,2740,2740
22777,Ntome_NODE_5916_length_2868_cov_112,Nsylvestris_NODE_6019_length_2757_cov_97,94.488,2413,130,3,404,2814,188,2599,0,3716,2410,2411
22841,Ntome_NODE_5934_length_2865_cov_140,Nsylvestris_NODE_4655_length_3055_cov_192,93.993,2697,119,11,72,2750,141,2812,0,4043,2678,2671
22882,Ntome_NODE_5948_length_2861_cov_275,Nsylvestris_NODE_4921_length_2991_cov_228,94.244,2797,132,20,47,2819,2842,51,0,4246,2772,2791
22916,Ntome_NODE_5957_length_2859_cov_229,Nsylvestris_NODE_7420_length_2501_cov_169,97.144,2451,47,3,83,2521,53,2492,0,4117,2438,2439
22929,Ntome_NODE_5962_length_2857_cov_24,Nsylvestris_NODE_5638_length_2831_cov_29,97.272,2273,49,3,90,2350,29,2300,0,3842,2260,2271
23070,Ntome_NODE_6004_length_2846_cov_261,Nsylvestris_NODE_5627_length_2832_cov_223,96.401,2806,72,7,1,2784,2812,14,0,4595,2783,2798
23128,Ntome_NODE_6021_length_2843_cov_285,Nsylvestris_NODE_6894_length_2586_cov_205,96.331,2589,91,3,244,2831,2586,1,0,4252,2587,2585
23270,Ntome_NODE_6062_length_2837_cov_50,Nsylvestris_NODE_24952_length_774_cov_20,95.758,165,7,0,1296,1460,689,525,6.79E-70,267,164,164
23278,Ntome_NODE_6065_length_2836_cov_222,Nsylvestris_NODE_6048_length_2750_cov_146,95.398,2716,115,4,44,2756,42,2750,0,4314,2712,2708
23419,Ntome_NODE_6104_length_2830_cov_50,Nsylvestris_NODE_14085_length_1641_cov_190,93.6,1500,64,11,1,1474,72,1565,0,2209,1473,1493
23651,Ntome_NODE_6173_length_2817_cov_242,Nsylvestris_NODE_4971_length_2980_cov_211,96.796,2778,52,12,47,2817,165,2912,0,4602,2770,2747
24124,Ntome_NODE_6295_length_2789_cov_59,Nsylvestris_NODE_5292_length_2907_cov_184,95.294,2805,84,19,4,2789,2859,84,0,4405,2785,2775
24356,Ntome_NODE_6356_length_2777_cov_19,Nsylvestris_NODE_31414_length_425_cov_3,96.682,422,14,0,752,1173,1,422,0,702,421,421
