"","Query.seq.ID","Subject.seq.ID","X.ID","Alignment.length","X..mismatches","X..gap.openings","start.in.query","end.in.query","start.in.subject","end.in.subject","evalue","bitscore","match.length.query","match.length.subject"
"3479","Ntome_NODE_722_length_5523_cov_201","Nsylvestris_NODE_418_length_6225_cov_175",97.787,5513,116,1,1,5513,5562,56,0,9500,5512,5506
"3513","Ntome_NODE_729_length_5505_cov_63","Nsylvestris_NODE_8984_length_2253_cov_115",100,55,0,0,1,55,1603,1549,3.94e-20,102,54,54
"3720","Ntome_NODE_777_length_5425_cov_249","Nsylvestris_NODE_527_length_5882_cov_161",96.189,5379,157,12,1,5359,523,5873,0,8754,5358,5350
"3751","Ntome_NODE_786_length_5407_cov_259","Nsylvestris_NODE_896_length_5092_cov_162",97.277,5032,114,12,178,5194,66,5089,0,8512,5016,5023
"3783","Ntome_NODE_796_length_5390_cov_268","Nsylvestris_NODE_710_length_5408_cov_215",96.411,5377,135,16,43,5381,19,5375,0,8807,5338,5356
"3851","Ntome_NODE_814_length_5361_cov_301","Nsylvestris_NODE_784_length_5259_cov_192",97.889,5211,89,9,154,5349,52,5256,0,8994,5195,5204
"3927","Ntome_NODE_833_length_5338_cov_294","Nsylvestris_NODE_807_length_5236_cov_202",97.639,5209,98,7,51,5257,5186,1,0,8914,5206,5185
"3936","Ntome_NODE_836_length_5327_cov_252","Nsylvestris_NODE_740_length_5365_cov_202",98.297,5225,78,9,46,5264,5265,46,0,9145,5218,5219
"3946","Ntome_NODE_839_length_5322_cov_110","Nsylvestris_NODE_6592_length_2644_cov_144",94.828,58,3,0,2139,2196,1598,1541,8.25e-17,91.6,57,57
"4067","Ntome_NODE_866_length_5276_cov_251","Nsylvestris_NODE_872_length_5122_cov_205",95.885,5128,155,27,29,5143,4,5088,0,8250,5114,5084
"4105","Ntome_NODE_875_length_5260_cov_302","Nsylvestris_NODE_749_length_5353_cov_163",80,105,16,5,3211,3312,2784,2886,2.95e-11,73.1,101,102
"4244","Ntome_NODE_908_length_5215_cov_33","Nsylvestris_NODE_2263_length_3909_cov_15",71.249,1593,407,44,1795,3360,1715,147,7.22e-97,357,1565,1568
"4358","Ntome_NODE_934_length_5187_cov_285","Nsylvestris_NODE_10211_length_2087_cov_73",84.81,79,10,2,2326,2403,83,6,6.26e-13,78.7,77,77
"4409","Ntome_NODE_949_length_5168_cov_79","Nsylvestris_NODE_255_length_6967_cov_81",96.059,4973,175,13,1,4961,6890,1927,0,8078,4960,4963
"4437","Ntome_NODE_958_length_5154_cov_213","Nsylvestris_NODE_7294_length_2519_cov_69",83.648,159,16,8,3,152,1317,1474,7.82e-32,141,149,157
"4517","Ntome_NODE_981_length_5116_cov_292","Nsylvestris_NODE_974_length_4986_cov_218",95.546,4939,189,5,158,5065,48,4986,0,7873,4907,4938
"4559","Ntome_NODE_991_length_5102_cov_77","Nsylvestris_NODE_3059_length_3562_cov_193",92.727,55,3,1,5049,5102,1815,1869,6.16e-13,78.7,53,54
"4899","Ntome_NODE_1065_length_5003_cov_107","Nsylvestris_NODE_15414_length_1511_cov_145",86.493,422,54,3,4501,4920,449,29,5.13e-128,460,419,420
"4915","Ntome_NODE_1071_length_4997_cov_170","Nsylvestris_NODE_5618_length_2835_cov_153",96.465,2433,77,6,154,2579,2823,393,0,4008,2425,2430
"4956","Ntome_NODE_1083_length_4976_cov_69","Nsylvestris_NODE_1297_length_4596_cov_158",85.294,238,24,8,307,535,1585,1350,3.37e-60,235,228,235
"4983","Ntome_NODE_1089_length_4965_cov_62","Nsylvestris_NODE_6020_length_2757_cov_35",81.533,287,45,4,4507,4789,347,65,1.56e-58,230,282,282
"5005","Ntome_NODE_1096_length_4954_cov_237","Nsylvestris_NODE_250_length_6992_cov_162",98.046,4963,88,2,1,4954,1100,6062,0,8619,4953,4962
"5012","Ntome_NODE_1099_length_4946_cov_245","Nsylvestris_NODE_1158_length_4748_cov_123",96.375,4662,149,7,81,4737,52,4698,0,7655,4656,4646
"5071","Ntome_NODE_1114_length_4934_cov_251","Nsylvestris_NODE_11155_length_1968_cov_32",87.68,487,46,10,603,1086,863,388,2.26e-156,555,483,475
"5144","Ntome_NODE_1132_length_4916_cov_30","Nsylvestris_NODE_925_length_5053_cov_43",96.469,4899,158,7,1,4885,4898,1,0,8074,4884,4897
"5171","Ntome_NODE_1139_length_4908_cov_252","Nsylvestris_NODE_1191_length_4709_cov_224",97.342,4627,92,13,1,4599,4625,2,0,7834,4598,4623
"5177","Ntome_NODE_1141_length_4905_cov_158","Nsylvestris_NODE_22833_length_900_cov_206",88.187,364,39,4,1084,1445,485,124,3.94e-119,431,361,361
"5181","Ntome_NODE_1143_length_4904_cov_140","Nsylvestris_NODE_989_length_4970_cov_182",96.412,4905,120,27,8,4902,4967,109,0,8032,4894,4858
"5225","Ntome_NODE_1150_length_4898_cov_30","Nsylvestris_NODE_36370_length_264_cov_4",83.571,280,30,4,139,418,1,264,4.26e-64,248,279,263
"5309","Ntome_NODE_1171_length_4873_cov_148","Nsylvestris_NODE_28816_length_592_cov_8",79.897,388,64,9,2322,2696,3,389,2.52e-71,272,374,386
"5316","Ntome_NODE_1174_length_4867_cov_56","Nsylvestris_NODE_24646_length_792_cov_12",87.603,242,27,3,4627,4867,792,553,5.4e-73,278,240,239
"5352","Ntome_NODE_1183_length_4859_cov_78","Nsylvestris_NODE_1054_length_4875_cov_139",89.13,46,5,0,3861,3906,2716,2671,7.64e-07,58.4,45,45
"5561","Ntome_NODE_1229_length_4799_cov_42","Nsylvestris_NODE_1323_length_4569_cov_70",69.274,1061,274,41,2118,3159,1462,2489,2.66e-21,106,1041,1027
"5666","Ntome_NODE_1258_length_4773_cov_108","Nsylvestris_NODE_1219_length_4685_cov_90",91.304,46,4,0,3056,3101,3105,3150,1.61e-08,63.9,45,45
"5761","Ntome_NODE_1282_length_4750_cov_151","Nsylvestris_NODE_12558_length_1808_cov_220",96.014,1430,54,2,3249,4675,1597,168,0,2322,1426,1429
"5774","Ntome_NODE_1285_length_4749_cov_57","Nsylvestris_NODE_1121_length_4799_cov_231",96.881,4649,89,12,27,4662,53,4658,0,7731,4635,4605
"5775","Ntome_NODE_1286_length_4745_cov_279","Nsylvestris_NODE_583_length_5741_cov_230",95.966,4611,177,7,136,4743,4605,1,0,7476,4607,4604
"5776","Ntome_NODE_1287_length_4745_cov_261","Nsylvestris_NODE_1440_length_4458_cov_209",98.057,4374,64,11,133,4489,42,4411,0,7587,4356,4369
"5970","Ntome_NODE_1332_length_4699_cov_92","Nsylvestris_NODE_2253_length_3913_cov_88",98.827,3581,42,0,3,3583,3853,273,0,6381,3580,3580
"5971","Ntome_NODE_1333_length_4697_cov_56","Nsylvestris_NODE_5929_length_2775_cov_116",95.367,2439,105,6,63,2496,54,2489,0,3871,2433,2435
"5978","Ntome_NODE_1336_length_4695_cov_24","Nsylvestris_NODE_26398_length_700_cov_154",98.182,55,1,0,4641,4695,254,308,1.57e-18,97.1,54,54
"6011","Ntome_NODE_1344_length_4686_cov_245","Nsylvestris_NODE_35193_length_291_cov_2",83.085,201,32,2,4131,4330,10,209,4.19e-44,182,199,199
"6012","Ntome_NODE_1345_length_4686_cov_49","Nsylvestris_NODE_863_length_5146_cov_222",76.881,2366,479,44,836,3157,848,3189,0,1277,2321,2341
"6040","Ntome_NODE_1352_length_4677_cov_27","Nsylvestris_NODE_187_length_7443_cov_93",81.604,212,31,7,316,522,1,209,3.26e-40,169,206,208
"6075","Ntome_NODE_1360_length_4668_cov_84","Nsylvestris_NODE_756_length_5337_cov_164",96.732,4406,130,7,31,4428,5269,870,0,7326,4397,4399
"6087","Ntome_NODE_1364_length_4663_cov_85","Nsylvestris_NODE_30981_length_453_cov_2",80.8,125,24,0,1212,1336,232,108,4.32e-19,99,124,124
"6129","Ntome_NODE_1376_length_4654_cov_58","Nsylvestris_NODE_3095_length_3545_cov_13",79.116,747,145,6,3918,4654,1418,673,2.18e-141,505,736,745
"6183","Ntome_NODE_1391_length_4641_cov_162","Nsylvestris_NODE_1378_length_4523_cov_106",94.894,4426,191,14,86,4506,4444,49,0,6889,4420,4395
"6313","Ntome_NODE_1417_length_4614_cov_68","Nsylvestris_NODE_1483_length_4412_cov_12",93.462,4451,233,14,147,4578,4412,1,0,6554,4431,4411
"6314","Ntome_NODE_1418_length_4613_cov_296","Nsylvestris_NODE_1086_length_4831_cov_220",94.983,4624,196,19,12,4607,1,4616,0,7221,4595,4615
"6527","Ntome_NODE_1470_length_4560_cov_135","Nsylvestris_NODE_983_length_4978_cov_134",97.678,3488,76,1,1,3488,4563,1081,0,5987,3487,3482
"6535","Ntome_NODE_1472_length_4558_cov_41","Nsylvestris_NODE_25991_length_718_cov_44",84.404,327,50,1,4233,4558,3,329,8.28e-86,320,325,326
"6540","Ntome_NODE_1474_length_4556_cov_66","Nsylvestris_NODE_127_length_8073_cov_98",97.87,4554,89,2,1,4554,4558,13,0,7866,4553,4545
"6743","Ntome_NODE_1525_length_4517_cov_41","Nsylvestris_NODE_36186_length_269_cov_3",93.6,125,7,1,613,736,238,114,3.12e-45,185,123,124
"6771","Ntome_NODE_1533_length_4512_cov_82","Nsylvestris_NODE_14157_length_1635_cov_6",84.345,1367,173,18,3095,4436,40,1390,0,1301,1341,1350
"6815","Ntome_NODE_1542_length_4499_cov_296","Nsylvestris_NODE_1558_length_4355_cov_230",97.108,4184,87,13,222,4381,4174,1,0,7025,4159,4173
"6861","Ntome_NODE_1555_length_4491_cov_264","Nsylvestris_NODE_1525_length_4376_cov_205",97.62,4328,89,10,137,4462,4376,61,0,7409,4325,4315
"7001","Ntome_NODE_1593_length_4459_cov_160","Nsylvestris_NODE_3864_length_3280_cov_151",97.212,3192,82,3,1219,4410,3279,95,0,5395,3191,3184
"7050","Ntome_NODE_1605_length_4447_cov_298","Nsylvestris_NODE_1141_length_4765_cov_225",98.294,4279,67,5,139,4415,76,4350,0,7492,4276,4274
"7086","Ntome_NODE_1612_length_4446_cov_208","Nsylvestris_NODE_144_length_7837_cov_109",98.539,4448,60,5,1,4446,6137,1693,0,7849,4445,4444
"7134","Ntome_NODE_1623_length_4437_cov_13","Nsylvestris_NODE_5476_length_2867_cov_125",88.608,79,9,0,2494,2572,271,349,1.48e-18,97.1,78,78
"7221","Ntome_NODE_1648_length_4423_cov_294","Nsylvestris_NODE_442_length_6136_cov_195",96.367,4239,104,26,233,4423,6090,1854,0,6929,4190,4236
"7236","Ntome_NODE_1653_length_4420_cov_228","Nsylvestris_NODE_1853_length_4147_cov_145",97.283,4086,102,7,211,4294,4147,69,0,6922,4083,4078
"7268","Ntome_NODE_1662_length_4415_cov_159","Nsylvestris_NODE_528_length_5879_cov_117",95.009,4067,152,21,310,4365,20,4046,0,6338,4055,4026
"7315","Ntome_NODE_1676_length_4407_cov_65","Nsylvestris_NODE_1496_length_4403_cov_97",95.602,4184,151,7,238,4407,52,4216,0,6676,4169,4164
"7400","Ntome_NODE_1696_length_4385_cov_34","Nsylvestris_NODE_6173_length_2722_cov_72",91.137,1918,124,12,2491,4385,770,2664,0,2558,1894,1894
"7653","Ntome_NODE_1752_length_4341_cov_22","Nsylvestris_NODE_1454_length_4445_cov_170",96.204,4347,140,13,4,4341,73,4403,0,7090,4337,4330
"7681","Ntome_NODE_1762_length_4335_cov_80","Nsylvestris_NODE_11627_length_1916_cov_106",76.535,635,124,19,3,624,1294,1916,6.09e-87,324,621,622
"7740","Ntome_NODE_1776_length_4329_cov_144","Nsylvestris_NODE_7845_length_2429_cov_130",96.162,990,34,4,3247,4236,1372,2357,0,1615,989,985
"7741","Ntome_NODE_1777_length_4329_cov_53","Nsylvestris_NODE_1630_length_4311_cov_86",97.454,4242,92,12,4,4232,4288,50,0,7221,4228,4238
"7936","Ntome_NODE_1819_length_4295_cov_49","Nsylvestris_NODE_2035_length_4032_cov_82",95.907,3982,118,7,18,3956,3,3982,0,6408,3938,3979
"8144","Ntome_NODE_1867_length_4262_cov_153","Nsylvestris_NODE_1090_length_4831_cov_167",94.88,3203,124,21,34,3202,1635,4831,0,4970,3168,3196
"8271","Ntome_NODE_1900_length_4235_cov_126","Nsylvestris_NODE_1626_length_4313_cov_129",97.548,4241,83,7,1,4224,58,4294,0,7236,4223,4236
"8280","Ntome_NODE_1903_length_4234_cov_152","Nsylvestris_NODE_18236_length_1247_cov_32",94.055,1026,59,2,3210,4234,1179,155,0,1555,1024,1024
"8323","Ntome_NODE_1913_length_4227_cov_203","Nsylvestris_NODE_1988_length_4063_cov_181",95.864,4038,127,16,166,4184,1,4017,0,6495,4018,4016
"8400","Ntome_NODE_1930_length_4220_cov_271","Nsylvestris_NODE_1441_length_4456_cov_192",96.792,3896,103,5,124,4014,482,4360,0,6482,3890,3878
"8403","Ntome_NODE_1932_length_4220_cov_221","Nsylvestris_NODE_2489_length_3800_cov_124",96.349,3698,121,10,527,4220,3750,63,0,6069,3693,3687
"8483","Ntome_NODE_1952_length_4208_cov_51","Nsylvestris_NODE_34524_length_307_cov_3",94.444,306,17,0,792,1097,306,1,1.99e-131,472,305,305
"8488","Ntome_NODE_1954_length_4207_cov_54","Nsylvestris_NODE_27879_length_634_cov_7",87.664,535,66,0,3673,4207,634,100,5.2e-177,623,534,534
"8651","Ntome_NODE_1995_length_4177_cov_112","Nsylvestris_NODE_17155_length_1343_cov_223",93.764,1299,42,11,2889,4168,12,1290,0,1914,1279,1278
"8667","Ntome_NODE_2000_length_4174_cov_238","Nsylvestris_NODE_2022_length_4038_cov_161",96.606,3948,105,10,56,3987,4037,103,0,6521,3931,3934
"8892","Ntome_NODE_2051_length_4141_cov_88","Nsylvestris_NODE_1841_length_4153_cov_82",96.026,3951,143,6,198,4141,3982,39,0,6414,3943,3943
"8922","Ntome_NODE_2060_length_4135_cov_74","Nsylvestris_NODE_1896_length_4120_cov_101",94.483,4133,149,45,38,4135,4120,32,0,6296,4097,4088
"8929","Ntome_NODE_2062_length_4133_cov_35","Nsylvestris_NODE_20_length_11989_cov_112",87.931,174,17,4,1,173,6371,6201,2.84e-50,202,172,170
"8960","Ntome_NODE_2072_length_4128_cov_235","Nsylvestris_NODE_1798_length_4179_cov_146",95.311,4073,131,28,42,4077,58,4107,0,6408,4035,4049
"9001","Ntome_NODE_2085_length_4115_cov_260","Nsylvestris_NODE_2431_length_3825_cov_140",94.453,3714,119,31,128,3791,4,3680,0,5637,3663,3676
"9061","Ntome_NODE_2100_length_4110_cov_303","Nsylvestris_NODE_621_length_5653_cov_228",97.981,4012,76,4,53,4059,60,4071,0,6955,4006,4011
"9062","Ntome_NODE_2101_length_4110_cov_28","Nsylvestris_NODE_16118_length_1438_cov_23",93.491,338,15,4,648,979,1096,1432,1.16e-138,496,331,336
"9063","Ntome_NODE_2102_length_4109_cov_77","Nsylvestris_NODE_2333_length_3881_cov_52",94.986,3829,187,3,237,4060,3881,53,0,6002,3823,3828
"9136","Ntome_NODE_2121_length_4098_cov_51","Nsylvestris_NODE_1913_length_4104_cov_108",96.76,3920,120,4,134,4047,4013,95,0,6529,3913,3918
"9143","Ntome_NODE_2124_length_4095_cov_289","Nsylvestris_NODE_1309_length_4585_cov_174",95.88,4102,131,13,5,4095,4529,455,0,6604,4090,4074
"9306","Ntome_NODE_2163_length_4079_cov_64","Nsylvestris_NODE_64_length_9157_cov_92",88,75,9,0,3112,3186,771,697,2.27e-16,89.8,74,74
"9604","Ntome_NODE_2244_length_4037_cov_263","Nsylvestris_NODE_2817_length_3654_cov_232",97.696,3255,75,0,593,3847,316,3570,0,5596,3254,3254
"9608","Ntome_NODE_2246_length_4031_cov_42","Nsylvestris_NODE_11727_length_1901_cov_206",93.141,729,37,3,74,790,13,740,0,1057,716,727
"9629","Ntome_NODE_2253_length_4032_cov_53","Nsylvestris_NODE_2148_length_3965_cov_56",94.908,3947,191,5,95,4032,1,3946,0,6167,3937,3945
"9658","Ntome_NODE_2260_length_4028_cov_63","Nsylvestris_NODE_1557_length_4356_cov_128",71.029,680,193,4,1205,1882,1465,2142,4.69e-38,161,677,677
"9670","Ntome_NODE_2264_length_4026_cov_39","Nsylvestris_NODE_1032_length_4896_cov_143",96.717,2833,80,5,1115,3939,2017,4844,0,4704,2824,2827
"9718","Ntome_NODE_2276_length_4017_cov_286","Nsylvestris_NODE_2348_length_3871_cov_222",96.843,3864,58,14,72,3919,1,3816,0,6401,3847,3815
"9757","Ntome_NODE_2286_length_4014_cov_121","Nsylvestris_NODE_1475_length_4421_cov_114",95.832,3959,122,12,42,3984,447,4378,0,6357,3942,3931
"9825","Ntome_NODE_2303_length_4004_cov_34","Nsylvestris_NODE_1870_length_4136_cov_184",95.918,49,2,0,1,49,2894,2846,1.34e-13,80.5,48,48
"9858","Ntome_NODE_2312_length_4000_cov_241","Nsylvestris_NODE_1805_length_4172_cov_65",97.099,3723,106,2,236,3958,452,4172,0,6276,3722,3720
"9878","Ntome_NODE_2319_length_3998_cov_205","Nsylvestris_NODE_2241_length_3918_cov_140",96.869,3896,93,12,40,3933,3869,1,0,6492,3893,3868
"9882","Ntome_NODE_2322_length_3996_cov_293","Nsylvestris_NODE_2404_length_3838_cov_232",96.411,3789,108,13,218,3984,3831,49,0,6218,3766,3782
"9943","Ntome_NODE_2337_length_3991_cov_300","Nsylvestris_NODE_517_length_5911_cov_217",98.221,3991,71,0,1,3991,4032,42,0,6977,3990,3990
"9944","Ntome_NODE_2338_length_3990_cov_45","Nsylvestris_NODE_10915_length_1998_cov_114",86.271,1515,171,25,2487,3987,191,1682,0,1611,1500,1491
"10061","Ntome_NODE_2370_length_3977_cov_60","Nsylvestris_NODE_4387_length_3130_cov_25",93.639,393,13,5,3211,3599,3130,2746,3.88e-163,577,388,384
"10113","Ntome_NODE_2381_length_3969_cov_149","Nsylvestris_NODE_2309_length_3890_cov_35",85.878,262,37,0,1713,1974,2386,2125,1.22e-73,279,261,261
"10294","Ntome_NODE_2425_length_3946_cov_63","Nsylvestris_NODE_2290_length_3898_cov_70",95.56,3671,136,6,5,3671,3898,251,0,5851,3666,3647
"10330","Ntome_NODE_2433_length_3941_cov_53","Nsylvestris_NODE_2961_length_3600_cov_74",88.687,2201,228,12,1756,3941,3093,899,0,2665,2185,2194
"10338","Ntome_NODE_2436_length_3939_cov_12","Nsylvestris_NODE_1435_length_4462_cov_74",96.447,3940,128,5,1,3939,4315,387,0,6490,3938,3928
"10356","Ntome_NODE_2441_length_3936_cov_262","Nsylvestris_NODE_176_length_7526_cov_167",96.202,3712,125,7,226,3931,3768,67,0,6059,3705,3701
"10396","Ntome_NODE_2451_length_3932_cov_69","Nsylvestris_NODE_93_length_8521_cov_68",96.754,3912,111,4,1,3896,3912,1,0,6506,3895,3911
"10414","Ntome_NODE_2457_length_3927_cov_57","Nsylvestris_NODE_2093_length_3999_cov_136",95.732,3889,122,19,59,3923,3869,1,0,6222,3864,3868
"10452","Ntome_NODE_2468_length_3922_cov_130","Nsylvestris_NODE_3418_length_3431_cov_74",96.385,3347,106,7,164,3502,3384,45,0,5496,3338,3339
"10453","Ntome_NODE_2469_length_3921_cov_71","Nsylvestris_NODE_2783_length_3671_cov_183",95.424,3584,150,6,341,3921,49,3621,0,5698,3580,3572
"10522","Ntome_NODE_2488_length_3914_cov_20","Nsylvestris_NODE_1079_length_4839_cov_117",97.525,3919,83,7,1,3914,49,3958,0,6687,3913,3909
"10603","Ntome_NODE_2511_length_3902_cov_289","Nsylvestris_NODE_1299_length_4593_cov_224",97.891,3793,80,0,1,3793,528,4320,0,6562,3792,3792
"10621","Ntome_NODE_2517_length_3901_cov_293","Nsylvestris_NODE_2602_length_3744_cov_230",97.647,3697,79,4,111,3803,3693,1,0,6338,3692,3692
"10633","Ntome_NODE_2522_length_3898_cov_200","Nsylvestris_NODE_124_length_8100_cov_69",86.614,127,16,1,571,696,70,196,2.13e-31,139,125,126
"10634","Ntome_NODE_2523_length_3897_cov_215","Nsylvestris_NODE_1502_length_4395_cov_193",96.717,3868,91,14,45,3897,371,4217,0,6407,3852,3846
"10683","Ntome_NODE_2533_length_3892_cov_289","Nsylvestris_NODE_3119_length_3537_cov_237",96.749,3445,106,5,257,3697,47,3489,0,5736,3440,3442
"10721","Ntome_NODE_2543_length_3888_cov_80","Nsylvestris_NODE_2604_length_3744_cov_34",95.828,3691,136,5,77,3756,61,3744,0,5947,3679,3683
"10747","Ntome_NODE_2550_length_3884_cov_245","Nsylvestris_NODE_2395_length_3842_cov_210",97.416,3792,82,7,56,3843,1,3780,0,6445,3787,3779
"10817","Ntome_NODE_2568_length_3875_cov_19","Nsylvestris_NODE_18674_length_1212_cov_9",97.03,101,3,0,3760,3860,101,1,7.49e-41,171,100,100
"10957","Ntome_NODE_2600_length_3860_cov_32","Nsylvestris_NODE_5736_length_2812_cov_207",94.915,59,2,1,4,61,647,589,5.98e-17,91.6,57,58
"10995","Ntome_NODE_2610_length_3855_cov_36","Nsylvestris_NODE_30686_length_472_cov_5",82.759,203,28,4,73,268,244,42,5.76e-42,174,195,202
"11008","Ntome_NODE_2615_length_3852_cov_263","Nsylvestris_NODE_1774_length_4193_cov_175",96.987,3585,94,3,94,3678,3,3573,0,6010,3584,3570
"11064","Ntome_NODE_2631_length_3846_cov_232","Nsylvestris_NODE_2015_length_4044_cov_141",97.633,3718,67,10,96,3800,4017,308,0,6359,3704,3709
"11101","Ntome_NODE_2640_length_3844_cov_44","Nsylvestris_NODE_3070_length_3555_cov_66",94.847,3474,155,5,90,3560,56,3508,0,5402,3470,3452
"11154","Ntome_NODE_2654_length_3836_cov_113","Nsylvestris_NODE_6394_length_2681_cov_74",94.318,88,4,1,258,345,2387,2301,9.73e-30,134,87,86
"11155","Ntome_NODE_2655_length_3835_cov_36","Nsylvestris_NODE_93_length_8521_cov_68",88.321,3853,379,28,1,3822,3912,100,0,4556,3821,3812
"11177","Ntome_NODE_2661_length_3832_cov_272","Nsylvestris_NODE_2782_length_3672_cov_228",94.619,3624,144,20,2,3594,9,3612,0,5565,3592,3603
"11266","Ntome_NODE_2688_length_3820_cov_60","Nsylvestris_NODE_2280_length_3902_cov_113",95.492,3394,111,23,58,3446,288,3644,0,5382,3388,3356
"11370","Ntome_NODE_2712_length_3805_cov_20","Nsylvestris_NODE_12566_length_1808_cov_174",83.448,145,21,1,926,1067,683,539,3.47e-29,132,141,144
"11472","Ntome_NODE_2737_length_3798_cov_115","Nsylvestris_NODE_2710_length_3700_cov_109",95.12,3627,136,14,78,3697,3616,24,0,5679,3619,3592
"11488","Ntome_NODE_2742_length_3796_cov_63","Nsylvestris_NODE_966_length_4996_cov_91",95.58,3597,137,8,206,3786,3626,36,0,5742,3580,3590
"11498","Ntome_NODE_2745_length_3794_cov_137","Nsylvestris_NODE_20158_length_1090_cov_9",77.465,213,38,10,2096,2305,250,45,2.7e-25,119,209,205
"11618","Ntome_NODE_2778_length_3777_cov_226","Nsylvestris_NODE_845_length_5164_cov_145",95.896,3338,135,1,92,3427,106,3443,0,5404,3335,3337
"11639","Ntome_NODE_2784_length_3774_cov_104","Nsylvestris_NODE_1202_length_4705_cov_14",74.885,653,146,17,2801,3444,2312,2955,3.23e-74,281,643,643
