,A,B,overlap
15,Nsylvestris_NODE_536_length_5858_cov_27,Nsylvestris_NODE_71_length_8986_cov_19,Nsylvestris_NODE_925_length_5053_cov_43
16,Nsylvestris_NODE_573_length_5765_cov_181,Nsylvestris_NODE_36942_length_253_cov_3,Nsylvestris_NODE_989_length_4970_cov_182
17,Nsylvestris_NODE_623_length_5646_cov_160,Nsylvestris_NODE_11124_length_1973_cov_167,Nsylvestris_NODE_1054_length_4875_cov_139
18,Nsylvestris_NODE_628_length_5634_cov_44,Nsylvestris_NODE_577_length_5757_cov_217,Nsylvestris_NODE_1158_length_4748_cov_123
19,Nsylvestris_NODE_648_length_5555_cov_57,Nsylvestris_NODE_1202_length_4705_cov_14,Nsylvestris_NODE_1191_length_4709_cov_224
20,Nsylvestris_NODE_678_length_5498_cov_103,Nsylvestris_NODE_418_length_6225_cov_175,Nsylvestris_NODE_1205_length_4701_cov_118
21,Nsylvestris_NODE_718_length_5403_cov_61,Nsylvestris_NODE_8984_length_2253_cov_115,Nsylvestris_NODE_1227_length_4677_cov_68
22,Nsylvestris_NODE_745_length_5355_cov_151,Nsylvestris_NODE_527_length_5882_cov_161,Nsylvestris_NODE_1454_length_4445_cov_170
23,Nsylvestris_NODE_762_length_5315_cov_152,Nsylvestris_NODE_896_length_5092_cov_162,Nsylvestris_NODE_1475_length_4421_cov_114
24,Nsylvestris_NODE_802_length_5245_cov_54,Nsylvestris_NODE_784_length_5259_cov_192,Nsylvestris_NODE_1483_length_4412_cov_12
25,Nsylvestris_NODE_803_length_5241_cov_24,Nsylvestris_NODE_807_length_5236_cov_202,Nsylvestris_NODE_1496_length_4403_cov_97
26,Nsylvestris_NODE_847_length_5160_cov_187,Nsylvestris_NODE_740_length_5365_cov_202,Nsylvestris_NODE_1502_length_4395_cov_193
27,Nsylvestris_NODE_874_length_5121_cov_65,Nsylvestris_NODE_6592_length_2644_cov_144,Nsylvestris_NODE_1525_length_4376_cov_205
28,Nsylvestris_NODE_895_length_5095_cov_203,Nsylvestris_NODE_2263_length_3909_cov_15,Nsylvestris_NODE_1536_length_4371_cov_182
29,Nsylvestris_NODE_901_length_5088_cov_125,Nsylvestris_NODE_10211_length_2087_cov_73,Nsylvestris_NODE_1624_length_4314_cov_47
30,Nsylvestris_NODE_912_length_5073_cov_236,Nsylvestris_NODE_255_length_6967_cov_81,Nsylvestris_NODE_1626_length_4313_cov_129
31,Nsylvestris_NODE_919_length_5061_cov_109,Nsylvestris_NODE_7294_length_2519_cov_69,Nsylvestris_NODE_1774_length_4193_cov_175
32,Nsylvestris_NODE_933_length_5044_cov_195,Nsylvestris_NODE_974_length_4986_cov_218,Nsylvestris_NODE_1784_length_4187_cov_161
33,Nsylvestris_NODE_975_length_4986_cov_44,Nsylvestris_NODE_3059_length_3562_cov_193,Nsylvestris_NODE_1798_length_4179_cov_146
34,Nsylvestris_NODE_1003_length_4950_cov_183,Nsylvestris_NODE_1297_length_4596_cov_158,Nsylvestris_NODE_1853_length_4147_cov_145
35,Nsylvestris_NODE_1010_length_4933_cov_58,Nsylvestris_NODE_6020_length_2757_cov_35,Nsylvestris_NODE_1896_length_4120_cov_101
36,Nsylvestris_NODE_1077_length_4842_cov_82,Nsylvestris_NODE_250_length_6992_cov_162,Nsylvestris_NODE_1913_length_4104_cov_108
37,Nsylvestris_NODE_1080_length_4839_cov_38,Nsylvestris_NODE_11155_length_1968_cov_32,Nsylvestris_NODE_1988_length_4063_cov_181
38,Nsylvestris_NODE_1115_length_4807_cov_235,Nsylvestris_NODE_22833_length_900_cov_206,Nsylvestris_NODE_2035_length_4032_cov_82
39,Nsylvestris_NODE_1134_length_4772_cov_171,Nsylvestris_NODE_24646_length_792_cov_12,Nsylvestris_NODE_2070_length_4011_cov_26
40,Nsylvestris_NODE_1169_length_4730_cov_53,Nsylvestris_NODE_1323_length_4569_cov_70,Nsylvestris_NODE_2093_length_3999_cov_136
41,Nsylvestris_NODE_1292_length_4603_cov_182,Nsylvestris_NODE_1219_length_4685_cov_90,Nsylvestris_NODE_2097_length_3995_cov_89
42,Nsylvestris_NODE_1314_length_4584_cov_117,Nsylvestris_NODE_1121_length_4799_cov_231,Nsylvestris_NODE_2148_length_3965_cov_56
43,Nsylvestris_NODE_1348_length_4553_cov_158,Nsylvestris_NODE_583_length_5741_cov_230,Nsylvestris_NODE_2190_length_3940_cov_200
44,Nsylvestris_NODE_1351_length_4547_cov_227,Nsylvestris_NODE_1440_length_4458_cov_209,Nsylvestris_NODE_2253_length_3913_cov_88
45,Nsylvestris_NODE_1366_length_4530_cov_27,Nsylvestris_NODE_5929_length_2775_cov_116,Nsylvestris_NODE_2260_length_3910_cov_75
46,Nsylvestris_NODE_1385_length_4505_cov_56,Nsylvestris_NODE_26398_length_700_cov_154,Nsylvestris_NODE_2280_length_3902_cov_113
47,Nsylvestris_NODE_1403_length_4492_cov_25,Nsylvestris_NODE_35193_length_291_cov_2,Nsylvestris_NODE_2290_length_3898_cov_70
48,Nsylvestris_NODE_1406_length_4487_cov_100,Nsylvestris_NODE_863_length_5146_cov_222,Nsylvestris_NODE_2329_length_3881_cov_160
49,Nsylvestris_NODE_1455_length_4440_cov_22,Nsylvestris_NODE_187_length_7443_cov_93,Nsylvestris_NODE_2333_length_3881_cov_52
50,Nsylvestris_NODE_1458_length_4436_cov_125,Nsylvestris_NODE_756_length_5337_cov_164,Nsylvestris_NODE_2360_length_3867_cov_34
51,Nsylvestris_NODE_1468_length_4429_cov_69,Nsylvestris_NODE_3095_length_3545_cov_13,Nsylvestris_NODE_2395_length_3842_cov_210
52,Nsylvestris_NODE_1489_length_4405_cov_231,Nsylvestris_NODE_1378_length_4523_cov_106,Nsylvestris_NODE_2424_length_3829_cov_166
53,Nsylvestris_NODE_1520_length_4382_cov_224,Nsylvestris_NODE_1086_length_4831_cov_220,Nsylvestris_NODE_2431_length_3825_cov_140
54,Nsylvestris_NODE_1575_length_4347_cov_74,Nsylvestris_NODE_983_length_4978_cov_134,Nsylvestris_NODE_2460_length_3809_cov_226
55,Nsylvestris_NODE_1581_length_4344_cov_140,Nsylvestris_NODE_25991_length_718_cov_44,Nsylvestris_NODE_2526_length_3780_cov_208
56,Nsylvestris_NODE_1599_length_4330_cov_231,Nsylvestris_NODE_127_length_8073_cov_98,Nsylvestris_NODE_2573_length_3759_cov_153
57,Nsylvestris_NODE_1617_length_4318_cov_34,Nsylvestris_NODE_14157_length_1635_cov_6,Nsylvestris_NODE_2604_length_3744_cov_34
58,Nsylvestris_NODE_1642_length_4298_cov_28,Nsylvestris_NODE_1558_length_4355_cov_230,Nsylvestris_NODE_2625_length_3730_cov_103
59,Nsylvestris_NODE_1680_length_4269_cov_80,Nsylvestris_NODE_1141_length_4765_cov_225,Nsylvestris_NODE_2651_length_3722_cov_83
60,Nsylvestris_NODE_1687_length_4265_cov_167,Nsylvestris_NODE_144_length_7837_cov_109,Nsylvestris_NODE_2654_length_3721_cov_230
61,Nsylvestris_NODE_1728_length_4229_cov_226,Nsylvestris_NODE_5476_length_2867_cov_125,Nsylvestris_NODE_2673_length_3714_cov_138
62,Nsylvestris_NODE_1755_length_4212_cov_222,Nsylvestris_NODE_442_length_6136_cov_195,Nsylvestris_NODE_2688_length_3710_cov_68
63,Nsylvestris_NODE_1761_length_4207_cov_231,Nsylvestris_NODE_528_length_5879_cov_117,Nsylvestris_NODE_2708_length_3701_cov_37
64,Nsylvestris_NODE_1795_length_4182_cov_77,Nsylvestris_NODE_11627_length_1916_cov_106,Nsylvestris_NODE_2710_length_3700_cov_109
65,Nsylvestris_NODE_1806_length_4170_cov_141,Nsylvestris_NODE_7845_length_2429_cov_130,Nsylvestris_NODE_2718_length_3697_cov_88
66,Nsylvestris_NODE_1809_length_4167_cov_113,Nsylvestris_NODE_1630_length_4311_cov_86,Nsylvestris_NODE_2783_length_3671_cov_183
67,Nsylvestris_NODE_1858_length_4145_cov_59,Nsylvestris_NODE_1090_length_4831_cov_167,Nsylvestris_NODE_2790_length_3666_cov_158
68,Nsylvestris_NODE_1907_length_4109_cov_237,Nsylvestris_NODE_1441_length_4456_cov_192,Nsylvestris_NODE_2819_length_3654_cov_52
69,Nsylvestris_NODE_1927_length_4097_cov_54,Nsylvestris_NODE_2489_length_3800_cov_124,Nsylvestris_NODE_2845_length_3639_cov_205
70,Nsylvestris_NODE_1938_length_4092_cov_229,Nsylvestris_NODE_27879_length_634_cov_7,Nsylvestris_NODE_2929_length_3610_cov_54
71,Nsylvestris_NODE_1959_length_4078_cov_136,Nsylvestris_NODE_17155_length_1343_cov_223,Nsylvestris_NODE_2934_length_3609_cov_15
72,Nsylvestris_NODE_1975_length_4069_cov_213,Nsylvestris_NODE_2022_length_4038_cov_161,Nsylvestris_NODE_2999_length_3588_cov_69
73,Nsylvestris_NODE_2005_length_4049_cov_223,Nsylvestris_NODE_1841_length_4153_cov_82,Nsylvestris_NODE_3033_length_3574_cov_154
74,Nsylvestris_NODE_2019_length_4042_cov_69,Nsylvestris_NODE_20_length_11989_cov_112,Nsylvestris_NODE_3070_length_3555_cov_66
75,Nsylvestris_NODE_2026_length_4037_cov_106,Nsylvestris_NODE_621_length_5653_cov_228,Nsylvestris_NODE_3081_length_3549_cov_195
76,Nsylvestris_NODE_2041_length_4029_cov_71,Nsylvestris_NODE_16118_length_1438_cov_23,Nsylvestris_NODE_3111_length_3539_cov_191
77,Nsylvestris_NODE_2075_length_4009_cov_91,Nsylvestris_NODE_1309_length_4585_cov_174,Nsylvestris_NODE_3129_length_3534_cov_114
78,Nsylvestris_NODE_2082_length_4005_cov_28,Nsylvestris_NODE_64_length_9157_cov_92,Nsylvestris_NODE_3169_length_3518_cov_171
79,Nsylvestris_NODE_2092_length_4000_cov_35,Nsylvestris_NODE_2817_length_3654_cov_232,Nsylvestris_NODE_3256_length_3487_cov_203
80,Nsylvestris_NODE_2098_length_3995_cov_15,Nsylvestris_NODE_11727_length_1901_cov_206,Nsylvestris_NODE_3258_length_3487_cov_43
81,Nsylvestris_NODE_2123_length_3979_cov_62,Nsylvestris_NODE_1557_length_4356_cov_128,Nsylvestris_NODE_3280_length_3481_cov_185
82,Nsylvestris_NODE_2130_length_3974_cov_62,Nsylvestris_NODE_1032_length_4896_cov_143,Nsylvestris_NODE_3321_length_3468_cov_119
83,Nsylvestris_NODE_2153_length_3963_cov_11,Nsylvestris_NODE_2348_length_3871_cov_222,Nsylvestris_NODE_3409_length_3434_cov_42
84,Nsylvestris_NODE_2209_length_3933_cov_132,Nsylvestris_NODE_1870_length_4136_cov_184,Nsylvestris_NODE_3423_length_3428_cov_231
85,Nsylvestris_NODE_2228_length_3923_cov_144,Nsylvestris_NODE_1805_length_4172_cov_65,Nsylvestris_NODE_3480_length_3408_cov_17
86,Nsylvestris_NODE_2282_length_3900_cov_224,Nsylvestris_NODE_2241_length_3918_cov_140,Nsylvestris_NODE_3483_length_3406_cov_194
87,Nsylvestris_NODE_2286_length_3899_cov_160,Nsylvestris_NODE_2404_length_3838_cov_232,Nsylvestris_NODE_3498_length_3402_cov_221
88,Nsylvestris_NODE_2296_length_3895_cov_161,Nsylvestris_NODE_517_length_5911_cov_217,Nsylvestris_NODE_3536_length_3387_cov_181
89,Nsylvestris_NODE_2299_length_3893_cov_228,Nsylvestris_NODE_10915_length_1998_cov_114,Nsylvestris_NODE_3545_length_3385_cov_168
90,Nsylvestris_NODE_2321_length_3884_cov_213,Nsylvestris_NODE_4387_length_3130_cov_25,Nsylvestris_NODE_3565_length_3378_cov_116
91,Nsylvestris_NODE_2343_length_3874_cov_88,Nsylvestris_NODE_2309_length_3890_cov_35,Nsylvestris_NODE_3609_length_3361_cov_218
92,Nsylvestris_NODE_2351_length_3869_cov_169,Nsylvestris_NODE_2961_length_3600_cov_74,Nsylvestris_NODE_3616_length_3360_cov_171
93,Nsylvestris_NODE_2363_length_3861_cov_220,Nsylvestris_NODE_1435_length_4462_cov_74,Nsylvestris_NODE_3670_length_3344_cov_147
94,Nsylvestris_NODE_2376_length_3855_cov_23,Nsylvestris_NODE_176_length_7526_cov_167,Nsylvestris_NODE_3731_length_3326_cov_51
95,Nsylvestris_NODE_2379_length_3854_cov_25,Nsylvestris_NODE_93_length_8521_cov_68,Nsylvestris_NODE_3752_length_3318_cov_153
96,Nsylvestris_NODE_2394_length_3844_cov_20,Nsylvestris_NODE_3418_length_3431_cov_74,Nsylvestris_NODE_3772_length_3312_cov_63
97,Nsylvestris_NODE_2403_length_3839_cov_75,Nsylvestris_NODE_1079_length_4839_cov_117,Nsylvestris_NODE_3815_length_3296_cov_72
98,Nsylvestris_NODE_2408_length_3837_cov_140,Nsylvestris_NODE_1299_length_4593_cov_224,Nsylvestris_NODE_3864_length_3280_cov_151
99,Nsylvestris_NODE_2492_length_3798_cov_189,Nsylvestris_NODE_2602_length_3744_cov_230,Nsylvestris_NODE_3900_length_3268_cov_175
100,Nsylvestris_NODE_2495_length_3797_cov_205,Nsylvestris_NODE_3119_length_3537_cov_237,Nsylvestris_NODE_3902_length_3266_cov_141
101,Nsylvestris_NODE_2500_length_3794_cov_97,Nsylvestris_NODE_18674_length_1212_cov_9,Nsylvestris_NODE_3936_length_3256_cov_141
102,Nsylvestris_NODE_2544_length_3771_cov_82,Nsylvestris_NODE_5736_length_2812_cov_207,Nsylvestris_NODE_3959_length_3246_cov_183
103,Nsylvestris_NODE_2545_length_3771_cov_51,Nsylvestris_NODE_30686_length_472_cov_5,Nsylvestris_NODE_3978_length_3239_cov_19
104,Nsylvestris_NODE_2572_length_3759_cov_230,Nsylvestris_NODE_2015_length_4044_cov_141,Nsylvestris_NODE_3988_length_3236_cov_33
105,Nsylvestris_NODE_2594_length_3748_cov_74,Nsylvestris_NODE_6394_length_2681_cov_74,Nsylvestris_NODE_4066_length_3215_cov_76
106,Nsylvestris_NODE_2596_length_3746_cov_219,Nsylvestris_NODE_93_length_8521_cov_68,Nsylvestris_NODE_4083_length_3209_cov_107
107,Nsylvestris_NODE_2640_length_3725_cov_144,Nsylvestris_NODE_2782_length_3672_cov_228,Nsylvestris_NODE_4084_length_3208_cov_128
108,Nsylvestris_NODE_2656_length_3720_cov_231,Nsylvestris_NODE_12566_length_1808_cov_174,Nsylvestris_NODE_4095_length_3204_cov_107
109,Nsylvestris_NODE_2667_length_3717_cov_37,Nsylvestris_NODE_966_length_4996_cov_91,Nsylvestris_NODE_4099_length_3203_cov_50
110,Nsylvestris_NODE_2694_length_3707_cov_28,Nsylvestris_NODE_20158_length_1090_cov_9,Nsylvestris_NODE_4145_length_3190_cov_135
111,Nsylvestris_NODE_2712_length_3699_cov_151,Nsylvestris_NODE_1202_length_4705_cov_14,Nsylvestris_NODE_4180_length_3181_cov_174
112,Nsylvestris_NODE_2726_length_3693_cov_58,Nsylvestris_NODE_22936_length_895_cov_29,Nsylvestris_NODE_4188_length_3179_cov_43
113,Nsylvestris_NODE_2809_length_3658_cov_122,Nsylvestris_NODE_5597_length_2841_cov_125,Nsylvestris_NODE_4199_length_3176_cov_199
114,Nsylvestris_NODE_2871_length_3630_cov_158,Nsylvestris_NODE_1661_length_4279_cov_229,Nsylvestris_NODE_4312_length_3147_cov_26
115,Nsylvestris_NODE_2873_length_3630_cov_44,Nsylvestris_NODE_790_length_5256_cov_221,Nsylvestris_NODE_4313_length_3146_cov_236
116,Nsylvestris_NODE_2880_length_3628_cov_202,Nsylvestris_NODE_22_length_11544_cov_169,Nsylvestris_NODE_4327_length_3144_cov_158
117,Nsylvestris_NODE_2910_length_3616_cov_225,Nsylvestris_NODE_1166_length_4738_cov_208,Nsylvestris_NODE_4353_length_3139_cov_67
118,Nsylvestris_NODE_2947_length_3604_cov_232,Nsylvestris_NODE_3139_length_3531_cov_115,Nsylvestris_NODE_4374_length_3133_cov_196
119,Nsylvestris_NODE_2950_length_3603_cov_214,Nsylvestris_NODE_2823_length_3651_cov_234,Nsylvestris_NODE_4393_length_3128_cov_96
120,Nsylvestris_NODE_2955_length_3601_cov_205,Nsylvestris_NODE_179_length_7502_cov_164,Nsylvestris_NODE_4443_length_3111_cov_80
121,Nsylvestris_NODE_2958_length_3600_cov_174,Nsylvestris_NODE_3552_length_3381_cov_228,Nsylvestris_NODE_4458_length_3108_cov_33
122,Nsylvestris_NODE_2971_length_3598_cov_88,Nsylvestris_NODE_2584_length_3753_cov_168,Nsylvestris_NODE_4480_length_3103_cov_226
123,Nsylvestris_NODE_2978_length_3596_cov_167,Nsylvestris_NODE_6796_length_2604_cov_162,Nsylvestris_NODE_4482_length_3103_cov_205
124,Nsylvestris_NODE_2983_length_3593_cov_147,Nsylvestris_NODE_67_length_9106_cov_194,Nsylvestris_NODE_4494_length_3101_cov_145
125,Nsylvestris_NODE_2993_length_3590_cov_230,Nsylvestris_NODE_2025_length_4037_cov_130,Nsylvestris_NODE_4555_length_3084_cov_230
126,Nsylvestris_NODE_3000_length_3587_cov_204,Nsylvestris_NODE_25880_length_725_cov_5,Nsylvestris_NODE_4558_length_3083_cov_185
127,Nsylvestris_NODE_3031_length_3574_cov_218,Nsylvestris_NODE_5096_length_2947_cov_67,Nsylvestris_NODE_4603_length_3072_cov_226
128,Nsylvestris_NODE_3036_length_3573_cov_128,Nsylvestris_NODE_3505_length_3399_cov_183,Nsylvestris_NODE_4604_length_3072_cov_118
129,Nsylvestris_NODE_3045_length_3570_cov_228,Nsylvestris_NODE_398_length_6281_cov_149,Nsylvestris_NODE_4620_length_3067_cov_197
130,Nsylvestris_NODE_3058_length_3559_cov_57,Nsylvestris_NODE_3370_length_3449_cov_198,Nsylvestris_NODE_4627_length_3066_cov_109
131,Nsylvestris_NODE_3065_length_3557_cov_23,Nsylvestris_NODE_836_length_5180_cov_82,Nsylvestris_NODE_4655_length_3055_cov_192
132,Nsylvestris_NODE_3078_length_3551_cov_82,Nsylvestris_NODE_4803_length_3021_cov_214,Nsylvestris_NODE_4689_length_3047_cov_190
133,Nsylvestris_NODE_3088_length_3548_cov_61,Nsylvestris_NODE_534_length_5860_cov_52,Nsylvestris_NODE_4713_length_3042_cov_55
134,Nsylvestris_NODE_3100_length_3543_cov_210,Nsylvestris_NODE_4308_length_3147_cov_234,Nsylvestris_NODE_4753_length_3033_cov_126
135,Nsylvestris_NODE_3104_length_3541_cov_193,Nsylvestris_NODE_3225_length_3498_cov_204,Nsylvestris_NODE_4760_length_3031_cov_150
136,Nsylvestris_NODE_3118_length_3538_cov_11,Nsylvestris_NODE_2522_length_3782_cov_186,Nsylvestris_NODE_4770_length_3029_cov_199
137,Nsylvestris_NODE_3166_length_3520_cov_72,Nsylvestris_NODE_9074_length_2242_cov_23,Nsylvestris_NODE_4794_length_3023_cov_155
138,Nsylvestris_NODE_3172_length_3518_cov_78,Nsylvestris_NODE_661_length_5525_cov_176,Nsylvestris_NODE_4796_length_3022_cov_225
139,Nsylvestris_NODE_3199_length_3507_cov_64,Nsylvestris_NODE_2699_length_3705_cov_186,Nsylvestris_NODE_4858_length_3006_cov_16
140,Nsylvestris_NODE_3242_length_3492_cov_216,Nsylvestris_NODE_3235_length_3496_cov_32,Nsylvestris_NODE_4921_length_2991_cov_228
141,Nsylvestris_NODE_3249_length_3490_cov_19,Nsylvestris_NODE_3365_length_3451_cov_123,Nsylvestris_NODE_4947_length_2987_cov_37
142,Nsylvestris_NODE_3276_length_3482_cov_80,Nsylvestris_NODE_14234_length_1625_cov_218,Nsylvestris_NODE_4971_length_2980_cov_211
143,Nsylvestris_NODE_3293_length_3477_cov_196,Nsylvestris_NODE_1206_length_4699_cov_133,Nsylvestris_NODE_4994_length_2974_cov_114
144,Nsylvestris_NODE_3298_length_3474_cov_212,Nsylvestris_NODE_2755_length_3681_cov_72,Nsylvestris_NODE_5060_length_2958_cov_70
145,Nsylvestris_NODE_3302_length_3472_cov_151,Nsylvestris_NODE_346_length_6486_cov_74,Nsylvestris_NODE_5061_length_2957_cov_226
146,Nsylvestris_NODE_3326_length_3466_cov_146,Nsylvestris_NODE_735_length_5379_cov_128,Nsylvestris_NODE_5066_length_2956_cov_176
147,Nsylvestris_NODE_3339_length_3460_cov_221,Nsylvestris_NODE_31890_length_399_cov_2,Nsylvestris_NODE_5180_length_2930_cov_155
148,Nsylvestris_NODE_3340_length_3459_cov_184,Nsylvestris_NODE_2972_length_3597_cov_185,Nsylvestris_NODE_5243_length_2917_cov_91
149,Nsylvestris_NODE_3374_length_3446_cov_229,Nsylvestris_NODE_1941_length_4091_cov_102,Nsylvestris_NODE_5292_length_2907_cov_184
150,Nsylvestris_NODE_3393_length_3442_cov_204,Nsylvestris_NODE_4074_length_3212_cov_21,Nsylvestris_NODE_5330_length_2900_cov_172
151,Nsylvestris_NODE_3415_length_3431_cov_233,Nsylvestris_NODE_14752_length_1574_cov_191,Nsylvestris_NODE_5367_length_2893_cov_70
152,Nsylvestris_NODE_3455_length_3417_cov_63,Nsylvestris_NODE_2033_length_4032_cov_229,Nsylvestris_NODE_5377_length_2891_cov_64
153,Nsylvestris_NODE_3487_length_3404_cov_186,Nsylvestris_NODE_7600_length_2469_cov_40,Nsylvestris_NODE_5442_length_2875_cov_206
154,Nsylvestris_NODE_3512_length_3394_cov_209,Nsylvestris_NODE_1242_length_4655_cov_128,Nsylvestris_NODE_5451_length_2873_cov_45
155,Nsylvestris_NODE_3537_length_3387_cov_111,Nsylvestris_NODE_3348_length_3456_cov_216,Nsylvestris_NODE_5453_length_2873_cov_23
156,Nsylvestris_NODE_3541_length_3386_cov_26,Nsylvestris_NODE_293_length_6765_cov_138,Nsylvestris_NODE_5490_length_2864_cov_89
157,Nsylvestris_NODE_3543_length_3385_cov_227,Nsylvestris_NODE_239_length_7063_cov_138,Nsylvestris_NODE_5504_length_2861_cov_158
158,Nsylvestris_NODE_3561_length_3380_cov_21,Nsylvestris_NODE_19293_length_1161_cov_120,Nsylvestris_NODE_5520_length_2858_cov_108
159,Nsylvestris_NODE_3563_length_3378_cov_233,Nsylvestris_NODE_3869_length_3277_cov_192,Nsylvestris_NODE_5530_length_2855_cov_224
160,Nsylvestris_NODE_3596_length_3366_cov_89,Nsylvestris_NODE_3856_length_3282_cov_181,Nsylvestris_NODE_5536_length_2855_cov_36
161,Nsylvestris_NODE_3597_length_3365_cov_222,Nsylvestris_NODE_202_length_7334_cov_199,Nsylvestris_NODE_5542_length_2852_cov_228
162,Nsylvestris_NODE_3629_length_3356_cov_34,Nsylvestris_NODE_3448_length_3421_cov_23,Nsylvestris_NODE_5595_length_2841_cov_151
163,Nsylvestris_NODE_3650_length_3351_cov_29,Nsylvestris_NODE_1946_length_4089_cov_12,Nsylvestris_NODE_5618_length_2835_cov_153
164,Nsylvestris_NODE_3655_length_3349_cov_178,Nsylvestris_NODE_4036_length_3221_cov_203,Nsylvestris_NODE_5627_length_2832_cov_223
165,Nsylvestris_NODE_3657_length_3349_cov_65,Nsylvestris_NODE_1282_length_4612_cov_151,Nsylvestris_NODE_5638_length_2831_cov_29
166,Nsylvestris_NODE_3667_length_3345_cov_129,Nsylvestris_NODE_4876_length_3001_cov_183,Nsylvestris_NODE_5661_length_2825_cov_50
167,Nsylvestris_NODE_3674_length_3343_cov_184,Nsylvestris_NODE_4105_length_3201_cov_223,Nsylvestris_NODE_5677_length_2823_cov_29
168,Nsylvestris_NODE_3695_length_3336_cov_98,Nsylvestris_NODE_4006_length_3231_cov_233,Nsylvestris_NODE_5687_length_2822_cov_26
169,Nsylvestris_NODE_3709_length_3333_cov_64,Nsylvestris_NODE_15982_length_1451_cov_15,Nsylvestris_NODE_5708_length_2818_cov_224
170,Nsylvestris_NODE_3717_length_3330_cov_187,Nsylvestris_NODE_24113_length_824_cov_208,Nsylvestris_NODE_5714_length_2818_cov_31
171,Nsylvestris_NODE_3718_length_3330_cov_160,Nsylvestris_NODE_3404_length_3435_cov_110,Nsylvestris_NODE_5729_length_2816_cov_153
172,Nsylvestris_NODE_3742_length_3321_cov_213,Nsylvestris_NODE_6445_length_2670_cov_217,Nsylvestris_NODE_5751_length_2810_cov_131
173,Nsylvestris_NODE_3747_length_3320_cov_209,Nsylvestris_NODE_622_length_5651_cov_203,Nsylvestris_NODE_5777_length_2805_cov_192
174,Nsylvestris_NODE_3763_length_3314_cov_100,Nsylvestris_NODE_3520_length_3393_cov_118,Nsylvestris_NODE_5814_length_2798_cov_95
175,Nsylvestris_NODE_3822_length_3293_cov_72,Nsylvestris_NODE_30_length_10263_cov_164,Nsylvestris_NODE_5846_length_2793_cov_69
176,Nsylvestris_NODE_3825_length_3293_cov_51,Nsylvestris_NODE_6970_length_2574_cov_110,Nsylvestris_NODE_5911_length_2779_cov_210
177,Nsylvestris_NODE_3827_length_3292_cov_204,Nsylvestris_NODE_3295_length_3476_cov_65,Nsylvestris_NODE_5923_length_2776_cov_136
178,Nsylvestris_NODE_3834_length_3290_cov_243,Nsylvestris_NODE_3110_length_3539_cov_211,Nsylvestris_NODE_5950_length_2769_cov_206
179,Nsylvestris_NODE_3866_length_3280_cov_32,Nsylvestris_NODE_3998_length_3233_cov_210,Nsylvestris_NODE_5952_length_2769_cov_161
180,Nsylvestris_NODE_3916_length_3264_cov_79,Nsylvestris_NODE_3604_length_3364_cov_74,Nsylvestris_NODE_5960_length_2768_cov_59
181,Nsylvestris_NODE_3924_length_3262_cov_54,Nsylvestris_NODE_4365_length_3135_cov_215,Nsylvestris_NODE_5980_length_2765_cov_72
182,Nsylvestris_NODE_3961_length_3245_cov_186,Nsylvestris_NODE_3292_length_3478_cov_160,Nsylvestris_NODE_5996_length_2761_cov_139
183,Nsylvestris_NODE_3982_length_3237_cov_228,Nsylvestris_NODE_24535_length_799_cov_15,Nsylvestris_NODE_6019_length_2757_cov_97
